target,policy,method,label,test_molecules,calibration_rule,risk,mean_atom_fraction,equal_size_random_risk,risk_minus_random,precision,iou,tie_inflation
hepatotoxic_class,include_all_exact_ties_v2,saliency,1,15,shared_all_nonempty_references,0.0515432098765432,0.9226601753635663,0.07733982463643368,-0.025796614759890483,0.17792834523483197,0.17644578115515594,0.009099146113972034
hepatotoxic_class,include_all_exact_ties_v2,saliency,2,12,shared_all_nonempty_references,0.06835063085063085,0.9169695923203517,0.0830304076796484,-0.014679776829017542,0.3894121788368248,0.3815925182646345,0.0010683760683760685
hepatotoxic_class,index_tiebreak_v1,atom_occlusion,0,4,shared_all_nonempty_references,0.017857142857142853,0.9165914786967418,0.08340852130325815,-0.06555137844611529,0.3309821450423315,0.3229229345160157,0.0
hepatotoxic_class,index_tiebreak_v1,atom_occlusion,1,15,shared_all_nonempty_references,0.05180776014109347,0.8977873395138171,0.10221266048618305,-0.050404900345089564,0.18193752474132097,0.17970861588017295,0.0
hepatotoxic_class,index_tiebreak_v1,atom_occlusion,2,12,shared_all_nonempty_references,0.05834520417853751,0.9012321148863783,0.09876788511362178,-0.040422680935084256,0.3922647110268953,0.3810639662403185,0.0
hepatotoxic_class,index_tiebreak_v1,gradinput,0,4,shared_all_nonempty_references,0.029761904761904767,0.8901911027568922,0.10980889724310777,-0.080046992481203,0.33367351661789,0.3200297257682168,0.0
hepatotoxic_class,index_tiebreak_v1,gradinput,1,15,shared_all_nonempty_references,0.051499118165784834,0.8890377571818592,0.11096224281814086,-0.05946312465235602,0.18133745521653966,0.1783074284304808,0.0
hepatotoxic_class,index_tiebreak_v1,gradinput,2,12,shared_all_nonempty_references,0.09668379460046128,0.8896136871400971,0.11038631285990275,-0.013702518259441491,0.38031011615100246,0.36387148787070805,0.0
hepatotoxic_class,index_tiebreak_v1,ig,0,4,shared_all_nonempty_references,0.025793650793650792,0.924310776942356,0.07568922305764411,-0.049895572263993326,0.32843554160563515,0.32066437758447114,0.0
hepatotoxic_class,index_tiebreak_v1,ig,1,15,shared_all_nonempty_references,0.06812169312169311,0.9116840660722029,0.08831593392779714,-0.020194240806103998,0.17518246779969474,0.1722681212799502,0.0
hepatotoxic_class,index_tiebreak_v1,ig,2,12,shared_all_nonempty_references,0.06659120200786868,0.9135344157220926,0.08646558427790745,-0.019874382270038758,0.3846745952263711,0.3740362315866814,0.0
hepatotoxic_class,index_tiebreak_v1,saliency,0,4,shared_all_nonempty_references,0.1369047619047619,0.9398464912280702,0.06015350877192982,0.07675125313283208,0.31836878130120827,0.3125552278096362,0.0
hepatotoxic_class,index_tiebreak_v1,saliency,1,15,shared_all_nonempty_references,0.07129629629629629,0.9206037650966779,0.07939623490332205,-0.008099938607025752,0.1754483265346754,0.17365255345596664,0.0
hepatotoxic_class,index_tiebreak_v1,saliency,2,12,shared_all_nonempty_references,0.06360229276895944,0.9267465648997435,0.07325343510025645,-0.009651142331297017,0.3864316845784497,0.3799358156053081,0.0
observed_class,include_all_exact_ties_v2,atom_occlusion,0,4,shared_all_nonempty_references,0.1607142857142857,0.9359868421052632,0.06401315789473684,0.09670112781954887,0.3139971496075951,0.30623212839443154,0.0020833333333333333
observed_class,include_all_exact_ties_v2,atom_occlusion,1,15,shared_all_nonempty_references,0.06525573192239859,0.9180101806662668,0.08198981933373316,-0.016734087411334576,0.17393216425490718,0.17096233878423064,0.0020370370370370373
