cell_id,model,seed,target,method,policy,alpha,selected_fraction,corrected_calibration_risk,fallback_full,n_calibration,n_test,risk,mean_atom_fraction,precision,iou,tie_inflation,equal_size_random_risk,reference_first_schedule_risk,fixed_20_risk,fixed_20_mean_atom_fraction,fixed_20_precision,fixed_20_iou,fixed_50_risk,fixed_50_mean_atom_fraction,fixed_50_precision,fixed_50_iou
liver__gcn__seed2026,gcn,2026,observed_class,gradinput,index_tiebreak_v1,0.2,0.8300000000000001,0.1859128040356414,False,33,31,0.1326558745913584,0.8555840841239667,0.2834004138751337,0.2753698913523641,0.0,0.1444159158760332,0.0,0.5874492890621924,0.2205405425670831,0.4272657450076805,0.2425680054712312,0.3101736972704714,0.5168316543735149,0.3401754686384667,0.2825823248236611
liver__gcn__seed2026,gcn,2026,observed_class,gradinput,include_all_exact_ties_v2,0.05,0.94,0.0476405946994182,False,33,31,0.0787742723226593,0.9664663107374282,0.2670350389752287,0.2635874479988707,0.0015360983102918,0.0335336892625715,0.0,0.5408543069833391,0.2349430739475432,0.4435483870967742,0.2703457832490091,0.3101736972704714,0.5227963869935955,0.3382283966574388,0.2809316928674264
liver__gcn__seed2026,gcn,2026,observed_class,gradinput,include_all_exact_ties_v2,0.1,0.91,0.0836844239958426,False,33,31,0.0812556619008231,0.9477371651119182,0.270740670220537,0.2667333584600544,0.0081841545551222,0.0522628348880816,0.0,0.5408543069833391,0.2349430739475432,0.4435483870967742,0.2703457832490091,0.3101736972704714,0.5227963869935955,0.3382283966574388,0.2809316928674264
liver__gcn__seed2026,gcn,2026,observed_class,gradinput,include_all_exact_ties_v2,0.2,0.8300000000000001,0.1810108432513276,False,33,31,0.1290716452006774,0.8629416793569792,0.2834926599901154,0.2757093773709673,0.0073575952330123,0.1370583206430209,0.0,0.5408543069833391,0.2349430739475432,0.4435483870967742,0.2703457832490091,0.3101736972704714,0.5227963869935955,0.3382283966574388,0.2809316928674264
liver__gcn__seed2026,gcn,2026,observed_class,ig,index_tiebreak_v1,0.05,0.95,0.0390200197726149,False,33,31,0.0572688959785733,0.9738696534249016,0.2689673436302438,0.2662070536070911,0.0,0.0261303465750981,0.0,0.5997183819764467,0.2205405425670831,0.4440860215053763,0.2512597617436327,0.3300937413840639,0.5168316543735149,0.3375256990532133,0.2788249078783883
liver__gcn__seed2026,gcn,2026,observed_class,ig,index_tiebreak_v1,0.1,0.91,0.0907501235788433,False,33,31,0.1009689235495687,0.939553010556796,0.2682126068860221,0.2637796514740894,0.0,0.0604469894432039,0.0,0.5997183819764467,0.2205405425670831,0.4440860215053763,0.2512597617436327,0.3300937413840639,0.5168316543735149,0.3375256990532133,0.2788249078783883
liver__gcn__seed2026,gcn,2026,observed_class,ig,index_tiebreak_v1,0.2,0.81,0.1992963927652509,False,33,31,0.156189688447753,0.836277122229724,0.2871246847036726,0.2780299566236253,0.0,0.1637228777702759,0.0,0.5997183819764467,0.2205405425670831,0.4440860215053763,0.2512597617436327,0.3300937413840639,0.5168316543735149,0.3375256990532133,0.2788249078783883
liver__gcn__seed2026,gcn,2026,observed_class,ig,include_all_exact_ties_v2,0.05,0.94,0.0390200197726149,False,33,31,0.0787742723226593,0.9679325863972524,0.2668255710238252,0.2633779800474673,0.0030023739701159,0.0320674136027474,0.0,0.5597798259088582,0.2352925226284713,0.4604838709677419,0.2767077904174679,0.3300937413840639,0.522830522511602,0.336629641705543,0.2781080620002521
liver__gcn__seed2026,gcn,2026,observed_class,ig,include_all_exact_ties_v2,0.1,0.9,0.0873897296475151,False,33,31,0.0884241206821851,0.9315398305352914,0.2736112464062379,0.2687146440960233,0.0062448304383788,0.0684601694647086,0.0,0.5597798259088582,0.2352925226284713,0.4604838709677419,0.2767077904174679,0.3300937413840639,0.522830522511602,0.336629641705543,0.2781080620002521
liver__gcn__seed2026,gcn,2026,observed_class,ig,include_all_exact_ties_v2,0.2,0.81,0.1968454123730941,False,33,31,0.156189688447753,0.839861351620405,0.2866766560298374,0.2775819279497902,0.003584229390681,0.160138648379595,0.0,0.5597798259088582,0.2352925226284713,0.4604838709677419,0.2767077904174679,0.3300937413840639,0.522830522511602,0.336629641705543,0.2781080620002521
liver__gcn__seed2026,gcn,2026,observed_class,saliency,index_tiebreak_v1,0.05,0.95,0.0407006920415224,False,33,31,0.0023041474654377,0.9738696534249016,0.2774929860692988,0.2763894207042733,0.0,0.0261303465750981,0.0,0.6673362479814094,0.2205405425670831,0.4119047619047619,0.2413857647728615,0.4129642758675017,0.5168316543735149,0.313387990356681,0.2631551815362861
liver__gcn__seed2026,gcn,2026,observed_class,saliency,index_tiebreak_v1,0.1,0.91,0.0940180974350524,False,33,31,0.0660522273425499,0.939553010556796,0.2729805607251724,0.2698546802860492,0.0,0.0604469894432039,0.0,0.6673362479814094,0.2205405425670831,0.4119047619047619,0.2413857647728615,0.4129642758675017,0.5168316543735149,0.313387990356681,0.2631551815362861
liver__gcn__seed2026,gcn,2026,observed_class,saliency,index_tiebreak_v1,0.2,0.81,0.1930981216015818,False,33,31,0.1681732246248375,0.836277122229724,0.2807416378981749,0.2710592994506008,0.0,0.1637228777702759,0.0,0.6673362479814094,0.2205405425670831,0.4119047619047619,0.2413857647728615,0.4129642758675017,0.5168316543735149,0.313387990356681,0.2631551815362861
liver__gcn__seed2026,gcn,2026,observed_class,saliency,include_all_exact_ties_v2,0.05,0.93,0.0439686658977316,False,33,31,0.0395545314900153,0.9637514413264232,0.2727572784345505,0.271621711021394,0.0082688800855184,0.0362485586735765,0.0,0.6673362479814094,0.229032751620302,0.4033026113671274,0.2346653346653347,0.3976032927645831,0.5223681002471776,0.3146573809137475,0.2652581313234964
liver__gcn__seed2026,gcn,2026,observed_class,saliency,include_all_exact_ties_v2,0.1,0.9,0.0824634755863129,False,33,31,0.0522273425499231,0.9291433306005912,0.2792468573948791,0.2752276145174019,0.0038483305036785,0.0708566693994089,0.0,0.6673362479814094,0.229032751620302,0.4033026113671274,0.2346653346653347,0.3976032927645831,0.5223681002471776,0.3146573809137475,0.2652581313234964
liver__gcn__seed2026,gcn,2026,observed_class,saliency,include_all_exact_ties_v2,0.2,0.77,0.1967333992420497,False,33,31,0.1717771475835992,0.8048572192395973,0.2877484772369161,0.2754136723813013,0.0079535756955111,0.1951427807604029,0.0,0.6673362479814094,0.229032751620302,0.4033026113671274,0.2346653346653347,0.3976032927645831,0.5223681002471776,0.3146573809137475,0.2652581313234964
liver__gcn__seed2026,gcn,2026,observed_class,atom_occlusion,index_tiebreak_v1,0.05,0.96,0.0443977591036414,False,33,31,0.003584229390681,0.9902002606390994,0.2716387796227103,0.2712711663518712,0.0,0.0097997393609005,0.0,0.657755327110166,0.2205405425670831,0.4070660522273425,0.2261963842609003,0.380479735318445,0.5168316543735149,0.3346391143117898,0.2769845347956304
