method,score_origin,grid,alpha,family,task,risk,mean_atom_fraction,precision,iou
gradinput,P01_checkpoint_rerun,machine,0.2,google,logic7,0.1580504896994258,0.7981062693923092,0.21639452291207342,0.20841981676879703
gradinput,P01_checkpoint_rerun,machine,0.2,google,logic8,0.17268495644854318,0.845290123016229,0.3005352859415796,0.28462461292300884
ig,P01_checkpoint_rerun,exact_integer,0.05,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
ig,P01_checkpoint_rerun,exact_integer,0.05,bxaic,P,0.0423878015155905,0.056013472476178904,0.7105022850712505,0.6681144835556599
ig,P01_checkpoint_rerun,exact_integer,0.05,bxaic,PAINS,0.046642237673555215,0.924562708789399,0.35203131600915666,0.34499170964441844
ig,P01_checkpoint_rerun,exact_integer,0.05,bxaic,X,0.04720914470205745,0.0880659152983928,0.6166827092859378,0.5694932511733776
ig,P01_checkpoint_rerun,exact_integer,0.05,bxaic,indole,0.047594010409838496,0.8280768510281765,0.36257373982725044,0.35551278731741504
ig,P01_checkpoint_rerun,exact_integer,0.05,bxaic,rings-count,0.04469798787369015,0.9523500143181503,0.6441007198308079,0.6263053464802475
ig,P01_checkpoint_rerun,exact_integer,0.05,bxaic,rings-max,0.0435085903105212,0.9586656491271218,0.2689330530709342,0.2656874783575432
ig,P01_checkpoint_rerun,exact_integer,0.05,google,benzene,0.049460935803528366,0.7144908968395747,0.5010075293944686,0.484093628915697
ig,P01_checkpoint_rerun,exact_integer,0.05,google,logic10,0.04773664455584092,0.881320125321135,0.5398110880899133,0.5261659505173116
ig,P01_checkpoint_rerun,exact_integer,0.05,google,logic7,0.024383654170888166,0.8441911774159535,0.2296063028616843,0.22815619038138316
ig,P01_checkpoint_rerun,exact_integer,0.05,google,logic8,0.038369395298743066,0.9382671774665116,0.3134697608170215,0.3099324423306545
ig,P01_checkpoint_rerun,exact_integer,0.1,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
