grid,alpha,left,right,metric,mean_delta,q025,q975,negative_cells,positive_cells,ties,interval_scope
exact_integer,0.1,ig,gradinput,risk,0.00250915132283361,0.00031608645682490867,0.005201203701005714,20,32,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,gradinput,mean_atom_fraction,-0.05903153344921437,-0.10171815657490392,-0.02462904289888585,35,10,21,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,gradinput,precision,0.024694856192252954,0.011655969682213087,0.04124995351218426,13,39,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,gradinput,iou,0.02143160109299451,0.009818933378161764,0.03657931719510188,11,41,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,atom_occlusion,risk,-0.0005171899189389432,-0.0029265354181253435,0.0022466112338883648,25,27,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,atom_occlusion,mean_atom_fraction,0.0992475070333318,0.05310525091306964,0.14777605346046882,4,40,22,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,atom_occlusion,precision,-0.07205565361911975,-0.11562616891892934,-0.03409205768664709,44,8,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,atom_occlusion,iou,-0.06317119275895788,-0.10084525644682325,-0.031020990902942597,43,9,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,saliency,risk,-0.0007007646581951066,-0.012656846847996995,0.010001339141330275,27,39,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,saliency,mean_atom_fraction,-0.009401751111737182,-0.08031713648419635,0.05058312735265575,28,30,8,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,saliency,precision,0.0859404210838484,-0.01614381256559633,0.19521800938374284,32,34,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,saliency,iou,0.07345925829202228,-0.014149799098082715,0.16626792098448406,32,34,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,atom_occlusion,risk,-0.0030263412417725535,-0.006621435773515583,0.0005026743411531355,32,20,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,atom_occlusion,mean_atom_fraction,0.15827904048254615,0.08154960627484772,0.2445524999046986,0,43,23,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,atom_occlusion,precision,-0.09675050981137269,-0.15705854605050326,-0.047407468346766596,50,2,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,atom_occlusion,iou,-0.0846027938519524,-0.13643346959081037,-0.04113538788440329,51,1,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,saliency,risk,-0.003209915981028716,-0.01440303433748834,0.005908229456762651,36,30,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,saliency,mean_atom_fraction,0.049629782337477175,-0.014280876933470488,0.11340516080361922,27,32,7,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,saliency,precision,0.06124556489159543,-0.048977561627918734,0.17482185827656835,34,32,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,saliency,iou,0.05202765719902779,-0.04212570426879197,0.1486518906243611,34,32,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,atom_occlusion,saliency,risk,-0.00018357473925616254,-0.012298533337832004,0.010784430984666311,27,39,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,atom_occlusion,saliency,mean_atom_fraction,-0.10864925814506897,-0.18969200103285114,-0.04134541069348848,52,7,7,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,atom_occlusion,saliency,precision,0.15799607470296814,0.07218302472772664,0.2515333216467697,7,59,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,atom_occlusion,saliency,iou,0.13663045105098015,0.06380009189846754,0.21675585270528103,10,56,0,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,gradinput,risk,0.0025736258553932492,0.00031608645682490867,0.0053711572233404595,20,32,14,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,gradinput,mean_atom_fraction,-0.05914144619143407,-0.10204558859457531,-0.02462904289888585,35,10,21,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,gradinput,precision,0.024728344230489117,0.011687156839132703,0.041286676154147814,13,39,14,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,gradinput,iou,0.02144815642570996,0.009824070786148368,0.0365796469224292,11,41,14,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,atom_occlusion,risk,-0.0003798607300405897,-0.00279441106736915,0.0024322748529953457,25,27,14,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,atom_occlusion,mean_atom_fraction,0.09905424478636528,0.052966302941282344,0.14753365595760737,4,40,22,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,atom_occlusion,precision,-0.07197850595232379,-0.11553915049351039,-0.034007777646333726,44,8,14,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,atom_occlusion,iou,-0.06316275381583557,-0.10086389735506093,-0.0310381985889621,43,9,14,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,saliency,risk,-0.0007699020615204867,-0.012770528607606654,0.010094424005496623,29,37,0,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,saliency,mean_atom_fraction,-0.009318962878853285,-0.0803486140718687,0.050563708307295306,28,31,7,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,saliency,precision,0.0859437173210588,-0.016081551758323275,0.19522922587558547,32,34,0,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,saliency,iou,0.07345493318485516,-0.014274983014447906,0.16625231417468223,32,34,0,descriptive 11 observed tasks from two dependent families
machine,0.1,gradinput,atom_occlusion,risk,-0.002953486585433839,-0.006562240236656287,0.0006180973062659463,32,20,14,descriptive 11 observed tasks from two dependent families
machine,0.1,gradinput,atom_occlusion,mean_atom_fraction,0.15819569097779937,0.081521035899562,0.24441502648934507,0,43,23,descriptive 11 observed tasks from two dependent families
machine,0.1,gradinput,atom_occlusion,precision,-0.0967068501828129,-0.1569869465070976,-0.047390844415563356,50,2,14,descriptive 11 observed tasks from two dependent families
machine,0.1,gradinput,atom_occlusion,iou,-0.08461091024154552,-0.13647516626871564,-0.041126979698910535,51,1,14,descriptive 11 observed tasks from two dependent families
machine,0.1,gradinput,saliency,risk,-0.0033435279169137357,-0.014595314955995826,0.005843492933644053,36,30,0,descriptive 11 observed tasks from two dependent families
machine,0.1,gradinput,saliency,mean_atom_fraction,0.049822483312580775,-0.014144720906643586,0.11366373184235565,27,32,7,descriptive 11 observed tasks from two dependent families
machine,0.1,gradinput,saliency,precision,0.06121537309056968,-0.04906144480536377,0.17478091563422934,34,32,0,descriptive 11 observed tasks from two dependent families
machine,0.1,gradinput,saliency,iou,0.0520067767591452,-0.042114980755966,0.14858564634442015,34,32,0,descriptive 11 observed tasks from two dependent families
machine,0.1,atom_occlusion,saliency,risk,-0.00039004133147989615,-0.012506856594172276,0.01058179291444374,28,38,0,descriptive 11 observed tasks from two dependent families
machine,0.1,atom_occlusion,saliency,mean_atom_fraction,-0.10837320766521857,-0.1895493576886653,-0.04107208493302837,52,7,7,descriptive 11 observed tasks from two dependent families
machine,0.1,atom_occlusion,saliency,precision,0.1579222232733826,0.07210902056917476,0.25146606771675123,7,59,0,descriptive 11 observed tasks from two dependent families
machine,0.1,atom_occlusion,saliency,iou,0.13661768700069074,0.06373420974574881,0.2166950161324645,10,56,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,ig,gradinput,risk,0.005017856457050374,0.0018248088703137902,0.008478635179398675,17,35,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,ig,gradinput,mean_atom_fraction,-0.08225077234495531,-0.13586035466133592,-0.03705286723613862,34,11,21,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,ig,gradinput,precision,0.04150583023661348,0.02107280218525161,0.06637728122508414,15,37,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,ig,gradinput,iou,0.03175466591417544,0.015077273277090448,0.05239147332958082,17,35,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,ig,atom_occlusion,risk,0.00038195060483862785,-0.005905939578541613,0.005707346578013142,25,27,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,ig,atom_occlusion,mean_atom_fraction,0.09306174030652561,0.04827871491683033,0.1408498533478956,7,40,19,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,ig,atom_occlusion,precision,-0.09069456176028123,-0.1392083402730535,-0.04680683321328909,43,9,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,ig,atom_occlusion,iou,-0.07025168501036287,-0.10500652867301766,-0.03828214337484075,45,7,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,ig,saliency,risk,-0.008424547559076708,-0.02884825088029135,0.008669063728934777,36,30,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,ig,saliency,mean_atom_fraction,-0.018725602903531743,-0.10876557987505293,0.05139151352755347,30,25,11,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,ig,saliency,precision,0.08212684559801443,-0.025194871662518332,0.21553914968284849,26,40,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,ig,saliency,iou,0.06544184324489853,-0.017204650564381502,0.16387142695934567,27,39,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,gradinput,atom_occlusion,risk,-0.004635905852211747,-0.0099186686594926,0.0004279554360562908,31,21,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,gradinput,atom_occlusion,mean_atom_fraction,0.17531251265148093,0.0973924136756105,0.2602956123806596,1,44,21,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,gradinput,atom_occlusion,precision,-0.1322003919968947,-0.20304009586622715,-0.07213938138473451,51,1,14,descriptive 11 observed tasks from two dependent families
