cell_id,family,task,model,seed,method,score_origin,alpha,historical_q,current_q,q_change,delta_risk,delta_mean_atom_fraction,delta_precision,delta_iou
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,P20_frozen_cache,0.2,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,P01_checkpoint_rerun,0.05,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,P01_checkpoint_rerun,0.1,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,P01_checkpoint_rerun,0.2,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,P01_checkpoint_rerun,0.05,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,P01_checkpoint_rerun,0.1,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,P01_checkpoint_rerun,0.2,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,P20_frozen_cache,0.05,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,P20_frozen_cache,0.1,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,P20_frozen_cache,0.2,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,P20_frozen_cache,0.05,8,8,0,0.0,0.0,0.0,0.0
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,P20_frozen_cache,0.1,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,P20_frozen_cache,0.2,1,1,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,P01_checkpoint_rerun,0.05,93,93,0,8.049116928532385e-16,1.1546319456101628e-14,6.106226635438361e-16,9.992007221626409e-16
