method,score_origin,grid,alpha,family,risk,mean_atom_fraction,precision,iou
saliency,P20_frozen_cache,exact_integer,0.1,bxaic,0.09166945148328243,0.5016267856811817,0.48177691070885365,0.45870428451545486
saliency,P20_frozen_cache,exact_integer,0.1,google,0.08083787624661615,0.7825205573733286,0.4344299422450051,0.4103747190242569
saliency,P20_frozen_cache,exact_integer,0.2,bxaic,0.1799859541413238,0.41432681212722605,0.5421699521929686,0.4925543992826114
saliency,P20_frozen_cache,exact_integer,0.2,google,0.17658276926161812,0.6736048449095466,0.47202787430322446,0.4157563554384538
saliency,P20_frozen_cache,machine,0.05,bxaic,0.0438174424086573,0.5715934866083356,0.3947709376076833,0.3852022477921964
saliency,P20_frozen_cache,machine,0.05,google,0.03143944346172607,0.8570160852764601,0.40846481147841346,0.3987894638756516
saliency,P20_frozen_cache,machine,0.1,bxaic,0.09177953921006328,0.5015390015280016,0.4817591997713791,0.4586821646554373
saliency,P20_frozen_cache,machine,0.1,google,0.08101265554843348,0.7821442519598588,0.4345439638384065,0.41047084998896455
saliency,P20_frozen_cache,machine,0.2,bxaic,0.18011534588390646,0.41414248235934387,0.5422310955515922,0.49256698665147525
saliency,P20_frozen_cache,machine,0.2,google,0.1763106306214239,0.6738262573238372,0.4719943754229993,0.4158507754097879
