method,score_origin,grid,split,q,nominal_fraction,risk,mean_atom_fraction,precision,iou
atom_occlusion,P20_frozen_cache,exact_integer,test,12,0.12,0.5032629817561026,0.13629203869143156,0.5938465809235152,0.2984304955179633
atom_occlusion,P20_frozen_cache,exact_integer,test,13,0.13,0.48492262794887503,0.14826615415802413,0.5841257544254811,0.30618226718384456
atom_occlusion,P20_frozen_cache,exact_integer,test,14,0.14,0.4679829483805389,0.16011058780199183,0.5730667674968204,0.3115048007068737
atom_occlusion,P20_frozen_cache,exact_integer,test,15,0.15,0.4582035636534343,0.16819109916077224,0.5661949655249396,0.31364781791084295
atom_occlusion,P20_frozen_cache,exact_integer,test,16,0.16,0.4474062481261349,0.17739304783364707,0.5593676911146783,0.3167800449065897
atom_occlusion,P20_frozen_cache,exact_integer,test,17,0.17,0.43029885478953994,0.18943484158404855,0.5522305012638362,0.32483589276467484
atom_occlusion,P20_frozen_cache,exact_integer,test,18,0.18,0.4187337228415172,0.19888468766031636,0.5463220737899563,0.3287333302488524
atom_occlusion,P20_frozen_cache,exact_integer,test,19,0.19,0.408178390683142,0.20847964993186308,0.5394288658803393,0.33099400142945157
atom_occlusion,P20_frozen_cache,exact_integer,test,20,0.2,0.40089310100582803,0.2145977737710138,0.5360104743806828,0.33359828194410757
atom_occlusion,P20_frozen_cache,exact_integer,test,21,0.21,0.38168820737084147,0.22983864637837428,0.528168071655783,0.341840961787746
atom_occlusion,P20_frozen_cache,exact_integer,test,22,0.22,0.3697716712495057,0.23997134132550663,0.5231658676792978,0.34621120826844765
atom_occlusion,P20_frozen_cache,exact_integer,test,23,0.23,0.35958674900761206,0.24936771666500288,0.5182511918360341,0.34922165903033814
atom_occlusion,P20_frozen_cache,exact_integer,test,24,0.24,0.35104387442148777,0.2581977047214623,0.5138431337001063,0.3514931066313672
atom_occlusion,P20_frozen_cache,exact_integer,test,25,0.25,0.34418777768998376,0.26450400426389203,0.5103794565130813,0.3530227677013791
atom_occlusion,P20_frozen_cache,exact_integer,test,26,0.26,0.3297201781382018,0.2783551250579085,0.5043397178188098,0.3571606962378036
atom_occlusion,P20_frozen_cache,exact_integer,test,27,0.27,0.3197404467634547,0.28837932653799997,0.4997322178611245,0.3598342434506243
atom_occlusion,P20_frozen_cache,exact_integer,test,28,0.28,0.3117307344423986,0.2974846499899692,0.4948407538100433,0.36042161176742077
atom_occlusion,P20_frozen_cache,exact_integer,test,29,0.29,0.3010585093132026,0.3082971561802614,0.48962356647275934,0.3619368453087483
atom_occlusion,P20_frozen_cache,exact_integer,test,30,0.3,0.29329039569479237,0.3173808777177288,0.4853691975739369,0.3629643052366921
