cell_id,family,task,model,seed,method,score_origin,alpha,q,risk,mean_atom_fraction,precision,iou
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,P01_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,P20_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,P20_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,P20_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,P20_historical,0.05,8,0.0428134556574923,0.0979195711911851,0.3874284482082648,0.3862052066180507
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,P20_historical,0.1,1,0.1009174311926605,0.0386003571497199,0.908256880733945,0.8899082568807339
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,P20_historical,0.2,1,0.1009174311926605,0.0386003571497199,0.908256880733945,0.8899082568807339
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,P01_historical,0.05,93,0.0481432699827394,0.9462280636892684,0.3167980070305904,0.3122500064326534
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,P01_historical,0.1,76,0.0941371200236928,0.7755804835294008,0.3656777795867114,0.3508058121191153
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,P01_historical,0.2,51,0.1874788291477517,0.5254579598587015,0.4732278704302137,0.4209108154000651
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,P01_historical,0.05,96,0.0476337234323157,0.9747994993281844,0.3085712242486335,0.3050688470168435
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,P01_historical,0.1,83,0.0977287608919986,0.8468982391419475,0.3340872922759832,0.3214103922293006
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,P01_historical,0.2,51,0.1939799582598717,0.5254579598587015,0.4712638135334977,0.4175845053394764
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,P20_historical,0.05,67,0.042981284041111,0.6886269315023922,0.4315733031393808,0.4219955522750513
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,P20_historical,0.1,56,0.0926729184309052,0.5771687133266318,0.4832019378062315,0.4575426484298666
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,P20_historical,0.2,43,0.1954820668613308,0.4472760748792189,0.5416887048259439,0.4746752487966044
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,P20_historical,0.05,92,0.0412151953502797,0.9357253254577884,0.3204483841652983,0.3158142344396046
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,P20_historical,0.1,85,0.0905276825282251,0.8652452057581667,0.3270188650935088,0.3161918670794107
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,P20_historical,0.2,74,0.1855329617443857,0.756226167854029,0.3318303253671757,0.3085820519664705
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,P01_historical,0.05,81,0.043453116395726,0.8271643980179285,0.3604422114540685,0.3537663166617913
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,P01_historical,0.1,71,0.092807636777588,0.727164883610353,0.3862174933141384,0.3689884617232105
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,P01_historical,0.2,58,0.1929748055289474,0.5961126805626655,0.415093631483567,0.3731174415802027
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,P01_historical,0.05,97,0.019608373939722,0.9902939499285958,0.3115275479318494,0.3104401909897879
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,P01_historical,0.1,87,0.0977877037839139,0.886845717303693,0.3190296115702059,0.3073286263132065
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,P01_historical,0.2,51,0.1902333536943716,0.5254579598587015,0.4763970209392375,0.4232903100074968
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,P20_historical,0.05,66,0.0417276919374918,0.6771674344541084,0.4382758326115218,0.4273496893175493
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,P20_historical,0.1,55,0.0914381448626178,0.565655995935434,0.49220644033771,0.4643033771531127
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,P20_historical,0.2,42,0.1896713042016233,0.4364188837908413,0.5620473401373309,0.491689624513804
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,P20_historical,0.05,79,0.0413869337664685,0.8060574077896853,0.3706803336983484,0.3638091524213213
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,P20_historical,0.1,70,0.0945475222004742,0.7179879589860199,0.3907315663706389,0.3738886705616405
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,P20_historical,0.2,60,0.1941168746731813,0.6127240769996649,0.4039938368291099,0.3669359816796519
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,P01_historical,0.05,77,0.0485283943933104,0.7868792996495827,0.3766791323480038,0.3684999131190914
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,P01_historical,0.1,68,0.0951195979620451,0.6955214960377726,0.4027538760795683,0.383703439869766
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,P01_historical,0.2,55,0.192736990144949,0.5656559959354353,0.4356004699759479,0.3884825210757748
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,P01_historical,0.05,83,0.0470045557823034,0.8468982391419475,0.3514705181308801,0.3444815832831954
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,P01_historical,0.1,69,0.0921602483121162,0.7066609235190675,0.3997637105943275,0.381720920487301
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,P01_historical,0.2,51,0.1878853750672917,0.5254579598587015,0.4723861281492882,0.4202403164091188
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,P20_historical,0.05,64,0.0448949902590945,0.6552994324012759,0.4513202787364967,0.438727394174761
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,P20_historical,0.1,54,0.0927572740580331,0.5561347932755574,0.4998783380518389,0.4704997266994719
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,P20_historical,0.2,41,0.1945211646822371,0.426605049899327,0.5680877361622839,0.4928505582569342
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,P20_historical,0.05,92,0.0476607943581419,0.9357253254577884,0.3180229938212578,0.3125503511510072
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,P20_historical,0.1,86,0.0936084657186456,0.875910682771859,0.323237449104889,0.3125549310016823
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,P20_historical,0.2,73,0.1925771290010589,0.7459979052719905,0.3364767159036362,0.3109825262701711
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,P01_historical,0.05,69,0.0481613172666231,0.7066609235190675,0.4203993133329708,0.411174460682171
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,P01_historical,0.1,55,0.0965217330945539,0.5656559959354353,0.4933413549778935,0.4656706507652158
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,P01_historical,0.2,39,0.1948047924022477,0.4058785626735883,0.5992745718432677,0.5158515464680629
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,P01_historical,0.05,96,0.0464803940169397,0.9747994993281844,0.3077692844083043,0.3039383124693608
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,P01_historical,0.1,93,0.0900985775038292,0.9462280636892684,0.3023874583842541,0.2937886658694099
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,P01_historical,0.2,85,0.1891435753983128,0.8652452057581679,0.294462187572334,0.2761394313494971
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,P20_historical,0.05,41,0.0411338090412267,0.426605049899327,0.6863241131345527,0.6559210220135089
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,P20_historical,0.1,33,0.0898791757481533,0.3440056976408639,0.7918831797012768,0.7157909375473435
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,P20_historical,0.2,26,0.1711695796833863,0.2763053964994718,0.8736562136739254,0.7177229689982614
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,P20_historical,0.05,67,0.0480846163101176,0.6886269315023922,0.4282186274456903,0.4165455962514122
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,P20_historical,0.1,55,0.0927304730702144,0.565655995935434,0.4922018125282941,0.4634595318769516
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,P20_historical,0.2,39,0.1947720142157069,0.4058785626735846,0.5957711364715068,0.5112832945971666
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,P01_historical,0.05,88,0.0481353260928247,0.8954710135035089,0.3322173799843174,0.325932927596297
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,P01_historical,0.1,66,0.0950887671854104,0.6771674344541085,0.4150012599111202,0.3946820273522162
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,P01_historical,0.2,44,0.1870168688116712,0.4554649986536597,0.5449065892310208,0.4766685766777129
