cell_id,family,task,model,seed,method,score_origin,alpha,comparison,machine_q,exact_q,q_change,calibration_occurrences,calibration_changed_sets,test_occurrences,test_changed_sets,machine_risk,exact_risk,delta_risk,machine_mean_atom_fraction,exact_mean_atom_fraction,delta_mean_atom_fraction,machine_precision,exact_precision,delta_precision,machine_iou,exact_iou,delta_iou
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,P20_frozen_cache,0.05,fixed_historical_q,26,26,0,119,0,109,0,0.0458715596330275,0.0458715596330275,0.0,0.2789442424776348,0.2789442424776348,0.0,0.1366082084515617,0.1366082084515617,0.0,0.1366082084515617,0.1366082084515617,0.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,P20_frozen_cache,0.05,fixed_current_machine_q,26,26,0,119,0,109,0,0.0458715596330275,0.0458715596330275,0.0,0.2789442424776348,0.2789442424776348,0.0,0.1366082084515617,0.1366082084515617,0.0,0.1366082084515617,0.1366082084515617,0.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,P20_frozen_cache,0.05,recalibrated,26,26,0,119,0,109,0,0.0458715596330275,0.0458715596330275,0.0,0.2789442424776348,0.2789442424776348,0.0,0.1366082084515617,0.1366082084515617,0.0,0.1366082084515617,0.1366082084515617,0.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,P20_frozen_cache,0.1,fixed_historical_q,18,18,0,119,0,109,0,0.073394495412844,0.073394495412844,0.0,0.1980496506979957,0.1980496506979957,0.0,0.1865046194095544,0.1865046194095544,0.0,0.1865046194095544,0.1865046194095544,0.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,P20_frozen_cache,0.1,fixed_current_machine_q,18,18,0,119,0,109,0,0.073394495412844,0.073394495412844,0.0,0.1980496506979957,0.1980496506979957,0.0,0.1865046194095544,0.1865046194095544,0.0,0.1865046194095544,0.1865046194095544,0.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,P20_frozen_cache,0.1,recalibrated,18,18,0,119,0,109,0,0.073394495412844,0.073394495412844,0.0,0.1980496506979957,0.1980496506979957,0.0,0.1865046194095544,0.1865046194095544,0.0,0.1865046194095544,0.1865046194095544,0.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,P20_frozen_cache,0.2,fixed_historical_q,6,6,0,119,0,109,0,0.2140672782874617,0.2140672782874617,0.0,0.0797090741330351,0.0797090741330351,0.0,0.3766928789864569,0.3766928789864569,0.0,0.3736347750109217,0.3736347750109217,0.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,P20_frozen_cache,0.2,fixed_current_machine_q,6,6,0,119,0,109,0,0.2140672782874617,0.2140672782874617,0.0,0.0797090741330351,0.0797090741330351,0.0,0.3766928789864569,0.3766928789864569,0.0,0.3736347750109217,0.3736347750109217,0.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,P20_frozen_cache,0.2,recalibrated,6,6,0,119,0,109,0,0.2140672782874617,0.2140672782874617,0.0,0.0797090741330351,0.0797090741330351,0.0,0.3766928789864569,0.3766928789864569,0.0,0.3736347750109217,0.3736347750109217,0.0
bxaic__B__gcn__seed42,bxaic,B,gcn,42,ig,P01_checkpoint_rerun,0.05,fixed_historical_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
