cell_id,family,task,model,seed,method,score_origin,grid,split,q,nominal_fraction,n,risk,mean_atom_fraction,precision,iou
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,49,0.49,119,0.0,0.5075012956151179,0.077242360085048,0.077242360085048
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,50,0.5,119,0.0,0.5086329605094841,0.077164640144766,0.077164640144766
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,51,0.51,119,0.0,0.531124630232542,0.0733405085221935,0.0733405085221935
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,52,0.52,119,0.0,0.5389453689561933,0.0725364494168919,0.0725364494168919
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,53,0.53,119,0.0,0.5489503674654125,0.0712618332411502,0.0712618332411502
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,54,0.54,119,0.0,0.5582722689720115,0.0700281416704991,0.0700281416704991
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,55,0.55,119,0.0,0.5697782679048898,0.068557621965851,0.068557621965851
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,56,0.56,119,0.0,0.5801826647421283,0.0673826993940526,0.0673826993940526
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,57,0.57,119,0.0,0.5855462871207257,0.0669747149901886,0.0669747149901886
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,58,0.58,119,0.0,0.5989897560763954,0.0652385185777749,0.0652385185777749
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,59,0.59,119,0.0,0.610471651879049,0.0640605598828228,0.0640605598828228
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,60,0.6,119,0.0,0.6163346379168719,0.0635547018622824,0.0635547018622824
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,61,0.61,119,0.0,0.6276963936524271,0.0623631979810668,0.0623631979810668
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,62,0.62,119,0.0,0.6401472191615233,0.0610793735116388,0.0610793735116388
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,63,0.63,119,0.0,0.6483935721507642,0.0604419326265655,0.0604419326265655
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,64,0.64,119,0.0,0.6583121733751988,0.0594972805264781,0.0594972805264781
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,65,0.65,119,0.0,0.6692399522260174,0.058371976403511,0.058371976403511
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,66,0.66,119,0.0,0.6793469283072331,0.0575892620799864,0.0575892620799864
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,67,0.67,119,0.0,0.693166458442343,0.056344058948047,0.056344058948047
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,68,0.68,119,0.0,0.6997800848050689,0.0559796835013793,0.0559796835013793
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,69,0.69,119,0.0,0.7073401814969126,0.0554414551613714,0.0554414551613714
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,70,0.7,119,0.0,0.7196322472795472,0.0544221833814424,0.0544221833814424
