comparison,cell_id,family,task,first,second,rank_spearman_mean,rank_undefined_count,own_set_jaccard_mean,own_set_jaccard_min,common_fraction_set_jaccard_mean,delta_fraction,delta_risk,delta_mean_atom_fraction,delta_oracle_excess
target,bxaic__indole__gin__seed42,bxaic,indole,raw__zero__200,margin__zero__200,0.8125113094262718,0,0.7641610283240924,0.5909090909090909,0.8194275322957243,0.08999999999999997,0.013247863247863256,0.09031328290362994,0.0912320863224334
integration,bxaic__indole__gin__seed42,bxaic,indole,raw__fit_atom_mean__20,raw__fit_atom_mean__50,0.9907309215374295,0,0.9554592785555203,0.85,0.9633886466067801,-0.010000000000000009,-0.005213675213675217,-0.010317930176672596,-0.021284023429061605
integration,bxaic__indole__gin__seed42,bxaic,indole,raw__fit_atom_mean__50,raw__fit_atom_mean__100,0.9980900607646711,0,0.9847937156107117,0.8571428571428571,0.9847937156107117,0.0,0.0022222222222222365,-0.00028996750734322507,0.0004218380482122752
integration,bxaic__indole__gin__seed42,bxaic,indole,raw__fit_atom_mean__100,raw__fit_atom_mean__200,0.9991108185008014,0,0.9964006578174327,0.8947368421052632,0.9964006578174327,0.0,0.0,0.00025043888312259455,0.00025043888312259455
integration,bxaic__indole__gin__seed42,bxaic,indole,raw__fit_atom_mean__20,raw__fit_atom_mean__200,0.9897067476219666,0,0.9529344867738573,0.85,0.9589439653579087,-0.010000000000000009,-0.002991452991452981,-0.010357458800893227,-0.020611746497726735
target,bxaic__indole__gin__seed42,bxaic,indole,raw__fit_atom_mean__20,margin__fit_atom_mean__20,0.929510766556521,0,0.87664826436722,0.6923076923076923,0.8788754158680457,-0.039999999999999925,-0.007435897435897454,-0.0411664790815891,-0.050805753155107214
target,bxaic__indole__gin__seed42,bxaic,indole,raw__fit_atom_mean__200,margin__fit_atom_mean__200,0.9293669279167994,0,0.8358421527822919,0.6296296296296297,0.864194098940568,-0.06999999999999995,0.005555555555555536,-0.07153966625769026,-0.06009468442290089
target,bxaic__indole__gin__seed42,bxaic,indole,raw__none__0,margin__none__0,0.8798016081283305,0,0.954934690550415,0.8529411764705882,0.9592858166157625,-0.020000000000000018,0.006025641025641015,-0.017258987862612707,-0.016522864873634302
integration,bxaic__P__gin__seed42,bxaic,P,raw__zero__20,raw__zero__50,0.9930405792198996,0,0.9391666666666666,0.25,0.98,-0.01,0.010000000000000002,-0.0018802202718739489,0.0
integration,bxaic__P__gin__seed42,bxaic,P,raw__zero__50,raw__zero__100,0.9970090514421487,0,0.93,0.0,0.98,0.01,-0.011999999999999997,0.0020556588683651802,0.0
integration,bxaic__P__gin__seed42,bxaic,P,raw__zero__100,raw__zero__200,0.9981953186737011,0,0.985,0.0,0.985,0.0,0.0050000000000000044,-0.0004166666666666624,0.0
integration,bxaic__P__gin__seed42,bxaic,P,raw__zero__20,raw__zero__200,0.9918963728832584,0,0.9866666666666666,0.5,0.9866666666666666,0.0,0.0030000000000000096,-0.00024122807017543102,0.0
target,bxaic__P__gin__seed42,bxaic,P,raw__zero__20,margin__zero__20,0.8629184753683924,0,0.965,0.0,0.965,0.0,0.0025000000000000022,-8.218337137718551e-05,0.0
target,bxaic__P__gin__seed42,bxaic,P,raw__zero__200,margin__zero__200,0.865477602576845,0,0.9066666666666666,0.0,0.9633333333333333,-0.01,0.015666666666666662,-0.0024117240633218864,0.0
integration,bxaic__P__gin__seed42,bxaic,P,raw__fit_atom_mean__20,raw__fit_atom_mean__50,0.9918114430341289,0,0.9841666666666665,0.5,0.9841666666666665,0.0,-0.0011666666666666492,0.00024052298467688166,0.0
integration,bxaic__P__gin__seed42,bxaic,P,raw__fit_atom_mean__50,raw__fit_atom_mean__100,0.9969977839421318,0,0.9841666666666667,0.5,0.9841666666666667,0.0,-0.0075,0.00038837248993266876,0.0
integration,bxaic__P__gin__seed42,bxaic,P,raw__fit_atom_mean__100,raw__fit_atom_mean__200,0.997943481969382,0,0.9716666666666666,0.3333333333333333,0.9716666666666666,0.0,0.014019607843137251,-0.0013415759561058102,0.0
integration,bxaic__P__gin__seed42,bxaic,P,raw__fit_atom_mean__20,raw__fit_atom_mean__200,0.9896987480280424,0,0.9616666666666666,0.0,0.9616666666666666,0.0,0.005352941176470602,-0.0007126804814962598,0.0
target,bxaic__P__gin__seed42,bxaic,P,raw__fit_atom_mean__20,margin__fit_atom_mean__20,0.8588568358618289,0,0.9048333333333332,0.16666666666666666,0.9753333333333333,-0.01,0.01420588235294118,-0.0022033768321052805,0.0
target,bxaic__P__gin__seed42,bxaic,P,raw__fit_atom_mean__200,margin__fit_atom_mean__200,0.8645920157467809,0,0.935,0.0,0.935,0.0,-0.00735294117647059,0.0005172750882176669,0.0
target,bxaic__P__gin__seed42,bxaic,P,raw__none__0,margin__none__0,0.8800241139429792,0,0.9456666666666667,0.2,0.9456666666666667,0.0,0.0075,0.00024873550625705704,0.0
integration,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__zero__20,raw__zero__50,0.9479583442835878,0,0.9534834289626746,0.8484848484848485,0.9698332792067744,0.020000000000000018,-0.004709054834054843,0.021080010151095396,0.0195940955070133
integration,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__zero__50,raw__zero__100,0.9890740700975558,0,0.9780156592997933,0.8571428571428571,0.9862551270052446,-0.010000000000000009,0.0020202020202020193,-0.011927551183391838,-0.011641811061419594
integration,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__zero__100,raw__zero__200,0.9949857173519123,0,0.9941378770557057,0.9,0.9941378770557057,0.0,0.0024007936507936672,-0.0006274509803920747,-0.000933857169761243
integration,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__zero__20,raw__zero__200,0.9431711878340455,0,0.9595045211025058,0.84,0.9647242314908265,0.010000000000000009,-0.0002880591630591567,0.008525007987311484,0.007018427275832462
target,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__zero__20,margin__zero__20,0.7529375349143815,0,0.8365234227384528,0.7083333333333334,0.8508516599863312,-0.05999999999999994,-0.02119644755828968,-0.051907263109464696,-0.051297638806327206
target,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__zero__200,margin__zero__200,0.8168320080570699,0,0.8397735212682232,0.7058823529411765,0.847043735683817,-0.06999999999999995,-0.018628987240829356,-0.061081461861756337,-0.049167486659155046
integration,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__fit_atom_mean__20,raw__fit_atom_mean__50,0.981795477098636,0,0.9807983495656889,0.8260869565217391,0.9807983495656889,0.0,0.001297979797979798,0.001720401674144445,0.004315246501549519
integration,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__fit_atom_mean__50,raw__fit_atom_mean__100,0.9964280936029313,0,0.9930442389735868,0.8260869565217391,0.9930442389735868,0.0,-0.00208333333333334,-0.0003703703703704653,0.008994379936056118
integration,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__fit_atom_mean__100,raw__fit_atom_mean__200,0.9979828377067318,0,0.9843532271339218,0.8695652173913043,0.9956835724344305,0.010000000000000009,-0.005027777777777777,0.010352847017654931,0.011374477892226953
integration,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__fit_atom_mean__20,raw__fit_atom_mean__200,0.9811688379960651,0,0.9701889514899841,0.8695652173913043,0.9802580677113077,0.010000000000000009,-0.005813131313131319,0.011702878321428911,0.02468410432983259
target,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__fit_atom_mean__20,margin__fit_atom_mean__20,0.9219348629629716,0,0.930028390007109,0.8,0.9461084796947797,0.030000000000000027,-0.0025833333333333403,0.03233535177211455,0.035619196856639834
target,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__fit_atom_mean__200,margin__fit_atom_mean__200,0.9156892251519977,0,0.9368669523677582,0.8,0.9452814393630343,0.020000000000000018,-0.0012702020202020187,0.019546200421389437,0.009413596089854703
target,bxaic__PAINS__gin__seed42,bxaic,PAINS,raw__none__0,margin__none__0,0.92696517866479,0,0.9852012825264945,0.8823529411764706,0.9852012825264945,0.0,-0.007444444444444434,0.00017316017316015841,-0.001985004738643825
integration,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__zero__20,raw__zero__50,0.9782687607518693,0,0.977154365050653,0.8333333333333334,0.977154365050653,0.0,0.0015000000000000013,-0.0004601594537467779,-0.011846503828224053
integration,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__zero__50,raw__zero__100,0.9959610069251567,0,0.9963481424466338,0.92,0.9963481424466338,0.0,-0.000999999999999987,0.0007310924369747784,0.0004776877647714173
integration,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__zero__100,raw__zero__200,0.9969598181356228,0,0.9959442733990147,0.9,0.9959442733990147,0.0,0.0,-0.0002941176470588891,0.00026058648235793846
integration,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__zero__20,raw__zero__200,0.9801361228417769,0,0.9767600198125577,0.8333333333333334,0.9767600198125577,0.0,0.0005000000000000143,-2.3184663830888574e-05,-0.011108229581094697
target,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__zero__20,margin__zero__20,0.9885526043141278,0,0.9849859701287409,0.9,0.9849859701287409,0.0,0.0014583333333333393,0.0001266340359880047,-0.010565063495718285
target,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__zero__200,margin__zero__200,0.9877935811366477,0,0.9867326801569853,0.8823529411764706,0.9867326801569853,0.0,0.0008333333333333387,0.0006175744371823555,-0.0003070528995061661
integration,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__fit_atom_mean__20,raw__fit_atom_mean__50,0.9924092769248628,0,0.992607226935034,0.8648648648648649,0.992607226935034,0.0,0.0011920758979582502,-0.0008581060456059886,0.010747418340943282
integration,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__fit_atom_mean__50,raw__fit_atom_mean__100,0.9982960664777208,0,0.9979937750018999,0.9130434782608695,0.9979937750018999,0.0,-0.00032258064516128837,0.00011355311355309983,-0.00047228446934333146
integration,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__fit_atom_mean__100,raw__fit_atom_mean__200,0.9989654014718893,0,0.9975240545050056,0.9,0.9975240545050056,0.0,-0.0004761904761904773,0.00014285714285722229,-0.011371431084425287
integration,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__fit_atom_mean__20,raw__fit_atom_mean__200,0.9910514417114612,0,0.989914132305878,0.8285714285714286,0.989914132305878,0.0,0.00039330477660648455,-0.0006016957891956665,-0.0010962972128253368
target,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__fit_atom_mean__20,margin__fit_atom_mean__20,0.8868851023646775,0,0.9452943190124508,0.76,0.9501426110968175,0.010000000000000009,0.015061876473227487,0.0043434999752584025,0.015809935802537534
target,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__fit_atom_mean__200,margin__fit_atom_mean__200,0.8849454310502023,0,0.9451397050550792,0.76,0.9510513303438796,0.010000000000000009,0.013651015030708286,0.005659481478739736,0.017533600499452184
target,bxaic__rings-count__gin__seed42,bxaic,rings-count,raw__none__0,margin__none__0,0.9596415984128629,0,0.9611967620263465,0.8,0.9611967620263465,0.0,-0.0016885073412593044,0.001268672685339256,0.00047642451462925894
integration,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__zero__20,raw__zero__50,0.9804812119181265,0,0.9756785901416669,0.8947368421052632,0.9756785901416669,0.0,-0.0017033058055256622,-0.0008574087862994739,-0.0003403187610240277
integration,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__zero__50,raw__zero__100,0.9957948920827672,0,0.9907943578874867,0.8947368421052632,0.9907943578874867,0.0,-0.002263320691248738,0.00038372093023253395,0.0010664534254720692
integration,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__zero__100,raw__zero__200,0.9982948237267039,0,0.9932437312277534,0.9230769230769231,0.9932437312277534,0.0,0.00021708265509133573,0.0004996824311120918,2.3047838476397686e-05
integration,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__zero__20,raw__zero__200,0.9797881091022727,0,0.9764913369376326,0.9111111111111111,0.9764913369376326,0.0,-0.0037495438416830645,2.599457504515179e-05,0.0007491825029244392
target,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__zero__20,margin__zero__20,0.9784994839781063,0,0.9800479321709978,0.8888888888888888,0.9800479321709978,0.0,-0.010139660529656438,-6.528297379670978e-05,0.0001560213681128797
target,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__zero__200,margin__zero__200,0.9819138726826019,0,0.9779750523159362,0.8947368421052632,0.9779750523159362,0.0,-0.004317486995396011,0.00014504228151202003,-0.0015850076610275377
integration,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__fit_atom_mean__20,raw__fit_atom_mean__50,0.9899568791946217,0,0.9903200847558634,0.8823529411764706,0.9903200847558634,0.0,-0.0023967902016682613,0.000643230073094414,0.00201336419821041
integration,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__fit_atom_mean__50,raw__fit_atom_mean__100,0.9970092362168614,0,0.9953347478300535,0.8823529411764706,0.9953347478300535,0.0,0.0014331408154432818,-4.83010011735896e-05,-0.0004261346927897369
integration,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__fit_atom_mean__100,raw__fit_atom_mean__200,0.9978982687064637,0,0.996797343682201,0.9538461538461539,0.996797343682201,0.0,0.00015729773615687226,-0.0006108050997514214,-0.0007585610832576695
integration,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__fit_atom_mean__20,raw__fit_atom_mean__200,0.9877330146243359,0,0.9892413755045074,0.9259259259259259,0.9892413755045074,0.0,-0.0008063516500681073,-1.587602783059694e-05,0.0008286684221630036
target,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__fit_atom_mean__20,margin__fit_atom_mean__20,0.8496215640576146,0,0.9313382379007261,0.8214285714285714,0.9386745284427207,-0.050000000000000044,0.014540376780095565,-0.04793495551913862,-0.04872834276892235
target,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__fit_atom_mean__200,margin__fit_atom_mean__200,0.8478816662880101,0,0.932797166897865,0.8493150684931506,0.93548022956438,-0.050000000000000044,0.011920872122728424,-0.04743343637537578,-0.049528347860992805
target,bxaic__rings-max__gin__seed42,bxaic,rings-max,raw__none__0,margin__none__0,0.9397748766127932,0,0.9766596861483013,0.8823529411764706,0.9766596861483013,0.0,0.0011288348159786549,0.0011929165127841923,-0.0019912800002434006
integration,bxaic__X__gin__seed42,bxaic,X,raw__zero__20,raw__zero__50,0.9790410514220821,0,0.9638095238095238,0.3333333333333333,0.9638095238095238,0.0,0.0,0.0,0.0
integration,bxaic__X__gin__seed42,bxaic,X,raw__zero__50,raw__zero__100,0.9889253959990508,0,0.9754761904761904,0.25,0.9754761904761904,0.0,0.0,-0.0005353466026081083,0.0
integration,bxaic__X__gin__seed42,bxaic,X,raw__zero__100,raw__zero__200,0.9967369256664723,0,0.9933333333333334,0.3333333333333333,0.9933333333333334,0.0,0.0,0.0,0.0
integration,bxaic__X__gin__seed42,bxaic,X,raw__zero__20,raw__zero__200,0.9683488505868341,0,0.9488095238095238,0.25,0.9488095238095238,0.0,0.0,-0.0005353466026081083,0.0
target,bxaic__X__gin__seed42,bxaic,X,raw__zero__20,margin__zero__20,0.853317311732402,0,0.8685,0.25,0.8685,0.0,0.0,-0.0015589072204892085,0.0
target,bxaic__X__gin__seed42,bxaic,X,raw__zero__200,margin__zero__200,0.859333051450668,0,0.7996349206349208,0.25,0.8639999999999999,0.010000000000000002,-0.031000000000000007,0.010758171744292819,0.0
integration,bxaic__X__gin__seed42,bxaic,X,raw__fit_atom_mean__20,raw__fit_atom_mean__50,0.995331147875574,0,0.9716666666666666,0.0,0.9716666666666666,0.0,-0.0050000000000000044,0.0007142857142857229,0.0
integration,bxaic__X__gin__seed42,bxaic,X,raw__fit_atom_mean__50,raw__fit_atom_mean__100,0.9983964709062008,0,0.9808333333333333,0.25,0.9808333333333333,0.0,-0.0049999999999999906,0.0005671296296296258,0.0
integration,bxaic__X__gin__seed42,bxaic,X,raw__fit_atom_mean__100,raw__fit_atom_mean__200,0.9993896173289134,0,0.9933333333333333,0.3333333333333333,0.9933333333333333,0.0,0.0,0.0,0.0
integration,bxaic__X__gin__seed42,bxaic,X,raw__fit_atom_mean__20,raw__fit_atom_mean__200,0.99540977274236,0,0.9825,0.25,0.9825,0.0,-0.009999999999999995,0.0012814153439153486,0.0
target,bxaic__X__gin__seed42,bxaic,X,raw__fit_atom_mean__20,margin__fit_atom_mean__20,0.8956818766438075,0,0.9098095238095237,0.25,0.9098095238095237,0.0,-0.009999999999999995,0.0016773284984491904,0.0
target,bxaic__X__gin__seed42,bxaic,X,raw__fit_atom_mean__200,margin__fit_atom_mean__200,0.8962592187582747,0,0.9189761904761905,0.25,0.9189761904761905,0.0,0.0,0.0003959131545338418,0.0
target,bxaic__X__gin__seed42,bxaic,X,raw__none__0,margin__none__0,0.9350697973328066,0,0.8623095238095239,0.25,0.8623095238095239,0.0,0.0050000000000000044,-0.0006810897435897412,0.0
integration,google__benzene__gin__seed42,google,benzene,raw__zero__20,raw__zero__50,0.9348535389721042,0,0.9134324852134449,0.7222222222222222,0.9454672934564574,0.040000000000000036,-0.021291666666666667,0.04091010061191103,0.04204412374616312
integration,google__benzene__gin__seed42,google,benzene,raw__zero__50,raw__zero__100,0.9889988554742821,0,0.963185647943388,0.8095238095238095,0.9782883556931544,-0.010000000000000009,0.0009583333333333388,-0.013981357806280292,-0.013456616605452276
integration,google__benzene__gin__seed42,google,benzene,raw__zero__100,raw__zero__200,0.9950464790519687,0,0.9886209273182957,0.8333333333333334,0.9886209273182957,0.0,1.3877787807814457e-17,-8.023715415017563e-05,0.00035454545454549624
integration,google__benzene__gin__seed42,google,benzene,raw__zero__20,raw__zero__200,0.9394479667312252,0,0.9223776031330211,0.6842105263157895,0.9445352105754583,0.030000000000000027,-0.020333333333333314,0.02684850565148056,0.02894205259525634
target,google__benzene__gin__seed42,google,benzene,raw__zero__20,margin__zero__20,0.6321954598151925,0,0.7388931227796149,0.47058823529411764,0.7283808165089125,-0.12,0.010749999999999982,-0.11630271158598637,-0.11554556418850714
target,google__benzene__gin__seed42,google,benzene,raw__zero__200,margin__zero__200,0.6062849839795844,0,0.7281422751580241,0.47619047619047616,0.7209873328425961,-0.14,0.009499999999999995,-0.13846669342794315,-0.13730896693120065
integration,google__benzene__gin__seed42,google,benzene,raw__fit_atom_mean__20,raw__fit_atom_mean__50,0.9906944559531232,0,0.9541149879532234,0.7333333333333333,0.9759343352725707,0.010000000000000009,-0.006958333333333344,0.015958333333333408,0.015610964912280811
integration,google__benzene__gin__seed42,google,benzene,raw__fit_atom_mean__50,raw__fit_atom_mean__100,0.9967911311102833,0,0.9906519607843137,0.8235294117647058,0.9906519607843137,0.0,0.005833333333333343,-0.000926315789473775,-0.001452631578947483
integration,google__benzene__gin__seed42,google,benzene,raw__fit_atom_mean__100,raw__fit_atom_mean__200,0.9988792617320079,0,0.995656862745098,0.8666666666666667,0.995656862745098,0.0,0.0016666666666666635,0.0007013157894737443,0.001632051720209693
integration,google__benzene__gin__seed42,google,benzene,raw__fit_atom_mean__20,raw__fit_atom_mean__200,0.9882927425999337,0,0.9484385173649881,0.7333333333333333,0.9689661980176686,0.010000000000000009,0.0005416666666666625,0.015733333333333377,0.01579038505354302
target,google__benzene__gin__seed42,google,benzene,raw__fit_atom_mean__20,margin__fit_atom_mean__20,0.455286286582838,0,0.5882565524860417,0.2,0.5837484754237849,-0.040000000000000036,0.026999999999999982,-0.03418994972512279,-0.03302934993843598
target,google__benzene__gin__seed42,google,benzene,raw__fit_atom_mean__200,margin__fit_atom_mean__200,0.4526413975943822,0,0.5858484560674964,0.2,0.5721999198771645,-0.050000000000000044,0.023125000000000007,-0.04866311633730547,-0.04841650942049386
target,google__benzene__gin__seed42,google,benzene,raw__none__0,margin__none__0,0.7232116360530567,0,0.8802854228689603,0.7368421052631579,0.9215906222242033,0.050000000000000044,-0.015833333333333338,0.05378154614040365,0.03838081209184352
integration,google__logic10__gin__seed42,google,logic10,raw__zero__20,raw__zero__50,0.9788805550187943,0,0.985870032362158,0.8571428571428571,0.985870032362158,0.0,0.002999999999999989,0.0,-0.0007080748303759377
integration,google__logic10__gin__seed42,google,logic10,raw__zero__50,raw__zero__100,0.9964923626266579,0,0.986589309241483,0.9047619047619048,0.9954470167513645,0.010000000000000009,-0.006394230769230777,0.008958333333333401,0.010069684256755196
integration,google__logic10__gin__seed42,google,logic10,raw__zero__100,raw__zero__200,0.9981681381275945,0,0.9893636363636362,0.9090909090909091,0.9972727272727272,-0.010000000000000009,0.004394230769230775,-0.008958333333333401,-0.007503787878787915
integration,google__logic10__gin__seed42,google,logic10,raw__zero__20,raw__zero__200,0.9821576540371023,0,0.9858305066704582,0.8571428571428571,0.9858305066704582,0.0,0.000999999999999987,0.0,0.0018578215475913429
target,google__logic10__gin__seed42,google,logic10,raw__zero__20,margin__zero__20,-0.234567628026656,0,0.6474087881211382,0.5833333333333334,0.5447333052643055,-0.17999999999999994,0.0014102564102564108,-0.17429849354927085,-0.17030876970205266
target,google__logic10__gin__seed42,google,logic10,raw__zero__200,margin__zero__200,-0.21826164323263494,0,0.6281712894978072,0.5416666666666666,0.5185525593063554,-0.20999999999999996,-0.00470075757575758,-0.20648803426311502,-0.2053406908066283
integration,google__logic10__gin__seed42,google,logic10,raw__fit_atom_mean__20,raw__fit_atom_mean__50,0.9898099423408001,0,0.9786892666157372,0.8823529411764706,0.985610262286733,-0.009999999999999898,0.010624999999999982,-0.010833333333333472,-0.009337878787879006
integration,google__logic10__gin__seed42,google,logic10,raw__fit_atom_mean__50,raw__fit_atom_mean__100,0.9971401838569429,0,0.9925952380952381,0.875,0.9925952380952381,0.0,0.0,0.0,0.0004499236058059797
integration,google__logic10__gin__seed42,google,logic10,raw__fit_atom_mean__100,raw__fit_atom_mean__200,0.9985207099819854,0,0.993630347593583,0.85,0.993630347593583,0.0,-0.0022307692307692306,0.0010317460317460503,0.0014665286404416666
integration,google__logic10__gin__seed42,google,logic10,raw__fit_atom_mean__20,raw__fit_atom_mean__200,0.9887170745755098,0,0.9752851094983448,0.85,0.9830935510567863,-0.009999999999999898,0.008394230769230751,-0.009801587301587422,-0.00742142654163136
target,google__logic10__gin__seed42,google,logic10,raw__fit_atom_mean__20,margin__fit_atom_mean__20,0.27729721750496583,0,0.6873929437338511,0.56,0.657605787647987,-0.13,0.03582255244755243,-0.12345910285927097,-0.12153194187544691
target,google__logic10__gin__seed42,google,logic10,raw__fit_atom_mean__200,margin__fit_atom_mean__200,0.282416624825931,0,0.6864478514239382,0.5555555555555556,0.6578509823547176,-0.1100000000000001,0.028034090909090925,-0.10789063244080055,-0.09472531456742628
target,google__logic10__gin__seed42,google,logic10,raw__none__0,margin__none__0,0.5518132164884623,0,0.9399352553819105,0.84,0.9399352553819105,0.0,0.0028882783882784036,0.007882713914912243,0.009940157920182435
integration,google__logic7__gin__seed42,google,logic7,raw__zero__20,raw__zero__50,0.9605742281148855,0,0.9443969326898645,0.7647058823529411,0.9483474117243301,-0.010000000000000009,-0.014184397163120546,-0.008026857995210968,-0.010966756517903131
integration,google__logic7__gin__seed42,google,logic7,raw__zero__50,raw__zero__100,0.985841608851853,0,0.9629441772976453,0.7894736842105263,0.9719276288342884,0.010000000000000009,-0.008865248226950367,0.00794626482951133,0.008550713572257895
integration,google__logic7__gin__seed42,google,logic7,raw__zero__100,raw__zero__200,0.9959927727291227,0,0.9664111751169587,0.8095238095238095,0.9772770474371159,0.020000000000000018,-0.0026595744680850963,0.012395228884590659,0.010460992907801558
integration,google__logic7__gin__seed42,google,logic7,raw__zero__20,raw__zero__200,0.9672130948108794,0,0.9360947054906609,0.7894736842105263,0.9438577409313855,0.020000000000000018,-0.02570921985815601,0.01231463571889102,0.008044949962156323
target,google__logic7__gin__seed42,google,logic7,raw__zero__20,margin__zero__20,0.5928986666690381,0,0.788646085710995,0.6,0.8446243288200912,0.10999999999999999,-0.013323201621073949,0.10167667142101744,0.10803232118372219
