dataset,seed,method,proxy,n_calibration_pairs,n_calibration_components,max_pairs_per_calibration_component,minimum_components_alpha_0_10,component_crc_numerically_feasible,component_crc_fraction,component_calibration_empirical_risk,component_calibration_corrected_risk,pair_crc_descriptive_fraction,pair_calibration_empirical_risk,pair_calibration_corrected_risk,fallback_when_infeasible,guarantee
CHEMBL214_Ki,43,integrated_gradients,main_variable_plus_attachment_symmetry_closed,47,15,10,9,True,0.97,0.035954969021711955,0.09620778345785497,0.93,0.06290539023705197,0.08242819460711334,not_needed,none; clustered retrospective stress test
CHEMBL214_Ki,43,integrated_gradients,variable_only_symmetry_closed,47,15,10,9,True,0.97,0.03843284493284494,0.09853079212454213,0.93,0.07696097185387332,0.09619095160691765,not_needed,none; clustered retrospective stress test
CHEMBL214_Ki,43,integrated_gradients,one_hop_expanded_symmetry_closed,47,15,10,9,True,0.96,0.03703775784061426,0.09722289797557587,0.92,0.07853721212109886,0.09773435353524267,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,51,10,28,9,True,0.96,0.008157616193330478,0.09832510563030045,0.91,0.07748455423977246,0.09522523588900758,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,17,atom_occlusion,variable_only_symmetry_closed,51,10,28,9,True,0.96,0.009461817422343739,0.09951074311122157,0.91,0.07901589828033727,0.09672713100571541,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,17,atom_occlusion,one_hop_expanded_symmetry_closed,51,10,28,9,True,0.96,0.006681326452745889,0.0969830240479508,0.9,0.07760102049631161,0.09533946240984409,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,17,integrated_gradients,main_variable_plus_attachment_symmetry_closed,51,10,28,9,True,0.98,0.0032258064516129,0.093841642228739,0.89,0.07811622280312983,0.09584475697999272,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,17,integrated_gradients,variable_only_symmetry_closed,51,10,28,9,True,0.98,0.003448275862068961,0.09404388714733541,0.89,0.07969059298727281,0.09738885081444065,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,17,integrated_gradients,one_hop_expanded_symmetry_closed,51,10,28,9,True,0.98,0.002857142857142858,0.0935064935064935,0.87,0.07987318124598101,0.09756792776048137,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,29,atom_occlusion,main_variable_plus_attachment_symmetry_closed,51,10,28,9,True,0.97,0.007561027309474515,0.0977827520995223,0.9,0.07805774270284091,0.09578740149701705,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,29,atom_occlusion,variable_only_symmetry_closed,51,10,28,9,True,0.97,0.008674879840293375,0.09879534530935762,0.91,0.07555952389543721,0.0933372253589865,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,29,atom_occlusion,one_hop_expanded_symmetry_closed,51,10,28,9,True,0.97,0.00895956772966272,0.09905415248151157,0.91,0.07823825242235871,0.09596443987577488,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,29,integrated_gradients,main_variable_plus_attachment_symmetry_closed,51,10,28,9,True,0.98,0.004021678236511995,0.09456516203319273,0.92,0.07443109079689007,0.09223049289694987,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,29,integrated_gradients,variable_only_symmetry_closed,51,10,28,9,True,0.98,0.004717068645640073,0.09519733513240007,0.93,0.07112410130585639,0.08898709935766684,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,29,integrated_gradients,one_hop_expanded_symmetry_closed,51,10,28,9,True,0.98,0.0031660500457492934,0.09378731822340845,0.91,0.08234870452042689,0.09999584481811095,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,43,atom_occlusion,main_variable_plus_attachment_symmetry_closed,51,10,28,9,True,0.96,0.007136392405345642,0.09739672036849605,0.9,0.07330847326898177,0.0911294641676552,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,43,atom_occlusion,variable_only_symmetry_closed,51,10,28,9,True,0.96,0.007925557890313531,0.09811414353664866,0.91,0.08158716355310784,0.0992489488693942,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,43,atom_occlusion,one_hop_expanded_symmetry_closed,51,10,28,9,True,0.96,0.007988082465191957,0.09817098405926541,0.91,0.07838716044231525,0.09611048427996302,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,43,integrated_gradients,main_variable_plus_attachment_symmetry_closed,51,10,28,9,True,0.98,0.007721427833320411,0.09792857075756402,0.92,0.07530646174146516,0.09308902978489852,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,43,integrated_gradients,variable_only_symmetry_closed,51,10,28,9,True,0.98,0.00856225619618477,0.09869296017834978,0.91,0.07918406373488043,0.09689206250920965,not_needed,none; clustered retrospective stress test
CHEMBL228_Ki,43,integrated_gradients,one_hop_expanded_symmetry_closed,51,10,28,9,True,0.98,0.006631674487158785,0.09693788589741707,0.92,0.08134058611763895,0.09900711330768434,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,75,13,41,9,True,0.97,0.016841049451693704,0.08706668877657273,0.9400000000000001,0.0766188146639356,0.08876856710256803,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,17,atom_occlusion,variable_only_symmetry_closed,75,13,41,9,True,0.96,0.02966946700810382,0.09897879079323926,0.9400000000000001,0.08025758656108187,0.09235946042212025,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,17,atom_occlusion,one_hop_expanded_symmetry_closed,75,13,41,9,True,0.96,0.030452803474002484,0.09970617465443088,0.9400000000000001,0.08623141596097024,0.09825468680358901,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,17,integrated_gradients,main_variable_plus_attachment_symmetry_closed,75,13,41,9,True,0.9400000000000001,0.025077752623565302,0.09471505600759635,0.9,0.08286662029517954,0.09493416476497978,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,17,integrated_gradients,variable_only_symmetry_closed,75,13,41,9,True,0.9400000000000001,0.027764123178279535,0.09720954295125958,0.9,0.08459976609541828,0.09664450601521539,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,17,integrated_gradients,one_hop_expanded_symmetry_closed,75,13,41,9,True,0.9500000000000001,0.030316134038042803,0.09957926732103974,0.9,0.08470586919225936,0.09674921301867698,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,29,atom_occlusion,main_variable_plus_attachment_symmetry_closed,75,13,41,9,True,0.98,0.017552280261958143,0.08772711738610399,0.9500000000000001,0.08718179125348775,0.09919255715804712,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,29,atom_occlusion,variable_only_symmetry_closed,75,13,41,9,True,0.98,0.01720088395038577,0.08740082081107249,0.96,0.08206961476526693,0.09414764614993447,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,29,atom_occlusion,one_hop_expanded_symmetry_closed,75,13,41,9,True,0.98,0.017413432161487344,0.0875981870070954,0.9500000000000001,0.08145852155440432,0.09354459363921479,not_needed,none; clustered retrospective stress test
