method,proxy,policy,aggregation,metric,target_macro_mean,bootstrap_ci_low,bootstrap_ci_high,n_targets
atom_occlusion,one_hop_expanded_symmetry_closed,component_crc_cluster_stress_test,pair_weighted,retained_fraction,0.9776930252205809,0.9680604765284934,0.9880790027395255,7
atom_occlusion,one_hop_expanded_symmetry_closed,component_crc_cluster_stress_test,pair_weighted,precision,0.287977249859673,0.26400006099604856,0.3113269475068191,7
atom_occlusion,one_hop_expanded_symmetry_closed,component_crc_cluster_stress_test,pair_weighted,iou,0.28623948155892426,0.2626955753108931,0.3089471679838946,7
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_20_percent,component_weighted,risk,0.7881552435945185,0.7710298265896752,0.8017060199397629,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_20_percent,component_weighted,retained_fraction,0.20858560651123711,0.2077780142334343,0.20943698542048875,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_20_percent,component_weighted,precision,0.30374767402138136,0.27240236134290097,0.3402285613721385,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_20_percent,component_weighted,iou,0.14602699534266897,0.13456163867129964,0.16115275288146733,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_20_percent,pair_weighted,risk,0.7823912529930183,0.7697279941661603,0.7925709421743145,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_20_percent,pair_weighted,retained_fraction,0.20903721471586334,0.20824579854667574,0.20977220276438976,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_20_percent,pair_weighted,precision,0.30867180009035233,0.2787433294628382,0.34036645556421,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_20_percent,pair_weighted,iou,0.15083103709010348,0.13863411632163006,0.1662948507288216,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_50_percent,component_weighted,risk,0.49444595853283174,0.46152994440639594,0.5232896378332191,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_50_percent,component_weighted,retained_fraction,0.5061701344665391,0.5053951724149084,0.5069878477343406,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_50_percent,component_weighted,precision,0.29940197577538535,0.2699604811837244,0.3320885890226902,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_50_percent,component_weighted,iou,0.2350921301616503,0.21271640558679444,0.26212839290909995,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_50_percent,pair_weighted,risk,0.4860039770291457,0.46369681608906055,0.5035871365731108,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_50_percent,pair_weighted,retained_fraction,0.5067254641952912,0.5058323990883314,0.5077191281115763,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_50_percent,pair_weighted,precision,0.3023909934582945,0.28002727437641345,0.3272449394127457,11
atom_occlusion,one_hop_expanded_symmetry_closed,fixed_50_percent,pair_weighted,iou,0.23829808158970023,0.22124870377160666,0.25881550546886495,11
atom_occlusion,one_hop_expanded_symmetry_closed,oracle_proxy,component_weighted,risk,0.0,0.0,0.0,11
atom_occlusion,one_hop_expanded_symmetry_closed,oracle_proxy,component_weighted,retained_fraction,0.29878226820669584,0.27451992191906216,0.3213274119763721,11
atom_occlusion,one_hop_expanded_symmetry_closed,oracle_proxy,component_weighted,precision,1.0,1.0,1.0,11
atom_occlusion,one_hop_expanded_symmetry_closed,oracle_proxy,component_weighted,iou,1.0,1.0,1.0,11
atom_occlusion,one_hop_expanded_symmetry_closed,oracle_proxy,pair_weighted,risk,0.0,0.0,0.0,11
atom_occlusion,one_hop_expanded_symmetry_closed,oracle_proxy,pair_weighted,retained_fraction,0.29849283031679535,0.2783141753227662,0.3169261849614561,11
atom_occlusion,one_hop_expanded_symmetry_closed,oracle_proxy,pair_weighted,precision,1.0,1.0,1.0,11
atom_occlusion,one_hop_expanded_symmetry_closed,oracle_proxy,pair_weighted,iou,1.0,1.0,1.0,11
atom_occlusion,one_hop_expanded_symmetry_closed,pair_crc_descriptive,component_weighted,risk,0.08146043623026535,0.06708727810750828,0.09879191299271724,11
atom_occlusion,one_hop_expanded_symmetry_closed,pair_crc_descriptive,component_weighted,retained_fraction,0.9172948788248878,0.9050116383710725,0.928618632219583,11
atom_occlusion,one_hop_expanded_symmetry_closed,pair_crc_descriptive,component_weighted,precision,0.3003253533990096,0.27374776871806644,0.32654586498228916,11
atom_occlusion,one_hop_expanded_symmetry_closed,pair_crc_descriptive,component_weighted,iou,0.2921466473526359,0.2673274905238421,0.3169855476663935,11
atom_occlusion,one_hop_expanded_symmetry_closed,pair_crc_descriptive,pair_weighted,risk,0.08034614059217328,0.07020819931984103,0.09140384611368185,11
atom_occlusion,one_hop_expanded_symmetry_closed,pair_crc_descriptive,pair_weighted,retained_fraction,0.9170047575690533,0.9039973996366962,0.9280846827463416,11
atom_occlusion,one_hop_expanded_symmetry_closed,pair_crc_descriptive,pair_weighted,precision,0.3003335073196365,0.2797321848780561,0.3198718667200297,11
atom_occlusion,one_hop_expanded_symmetry_closed,pair_crc_descriptive,pair_weighted,iou,0.29238585100329784,0.27309144621658765,0.31058832378964335,11
atom_occlusion,one_hop_expanded_symmetry_closed,random_same_nominal_size,component_weighted,risk,0.08503485854082114,0.07327705068771213,0.09752115237933284,11
atom_occlusion,one_hop_expanded_symmetry_closed,random_same_nominal_size,component_weighted,retained_fraction,0.9149651414591787,0.9024788476206672,0.9267229493122879,11
atom_occlusion,one_hop_expanded_symmetry_closed,random_same_nominal_size,component_weighted,precision,0.29878226820669584,0.2743404351493972,0.32213942737983586,11
atom_occlusion,one_hop_expanded_symmetry_closed,random_same_nominal_size,component_weighted,iou,0.28928728986558805,0.2671176198341159,0.31056005916068474,11
atom_occlusion,one_hop_expanded_symmetry_closed,random_same_nominal_size,pair_weighted,risk,0.08529127111672284,0.07344081688200384,0.09809452970389658,11
atom_occlusion,one_hop_expanded_symmetry_closed,random_same_nominal_size,pair_weighted,retained_fraction,0.9147087288832771,0.9019054702961035,0.9265591831179962,11
atom_occlusion,one_hop_expanded_symmetry_closed,random_same_nominal_size,pair_weighted,precision,0.29849283031679535,0.27902819097673937,0.31699364281272374,11
atom_occlusion,one_hop_expanded_symmetry_closed,random_same_nominal_size,pair_weighted,iou,0.28921173653961585,0.271446001612532,0.3058072904774355,11
atom_occlusion,variable_only_symmetry_closed,component_crc_cluster_stress_test,component_weighted,risk,0.019324720649841053,0.010536603787392886,0.02772921956942566,7
atom_occlusion,variable_only_symmetry_closed,component_crc_cluster_stress_test,component_weighted,retained_fraction,0.977178629592525,0.9646287841485439,0.9885589200880974,7
atom_occlusion,variable_only_symmetry_closed,component_crc_cluster_stress_test,component_weighted,precision,0.20457704909956662,0.18182267502262042,0.23002013811379382,7
atom_occlusion,variable_only_symmetry_closed,component_crc_cluster_stress_test,component_weighted,iou,0.20371449969954983,0.18117830108627508,0.22903581654989003,7
