cell_id,family,task,model,seed,method,origin,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__rings-max__gin__seed123,bxaic,rings-max,gin,123,saliency,fresh_full_partition,0.74,74,0.09556802591044831,0.09860303253490986,297,0.1,0.10080205922625493,0.7582097006718128,0.31858424198873164,0.3083598297684774,0.005214801219781334,0.75
bxaic__rings-max__gin__seed2026,bxaic,rings-max,gin,2026,atom_occlusion,fresh_full_partition,0.85,85,0.09473182123152056,0.0977696339119516,297,0.1,0.0839681602187993,0.8619491284527692,0.2855724418167352,0.278602231404841,0.0004072069448244288,0.8596491228070176
bxaic__rings-max__gin__seed2026,bxaic,rings-max,gin,2026,saliency,fresh_full_partition,0.73,73,0.09349002608282565,0.09653200586107115,297,0.1,0.09314660637235904,0.7474570421001168,0.32626445773690815,0.31613993698674303,0.004261088987218225,0.7419354838709677
bxaic__rings-max__gin__seed42,bxaic,rings-max,gin,42,atom_occlusion,fresh_full_partition,0.79,79,0.09255925392629288,0.09560435710103682,297,0.1,0.08093886247792106,0.8037592320763436,0.3056375335294991,0.2968170531623139,0.000617659591200139,0.8
bxaic__rings-max__gin__seed42,bxaic,rings-max,gin,42,saliency,fresh_full_partition,0.75,75,0.09695648394003913,0.09998683130936785,297,0.1,0.10717163332314265,0.7614915516711702,0.31505887600764015,0.30414256512348303,0.0027082153069865797,0.7575757575757576
bxaic__X__gcn__seed123,bxaic,X,gcn,123,atom_occlusion,fresh_full_partition,0.04,4,0.09668082259435372,0.09700752030770127,2764,0.1,0.09640269762523485,0.06222601109053772,0.8024175962827627,0.706014898657528,0.0051857588630942735,0.058823529411764705
bxaic__X__gcn__seed123,bxaic,X,gcn,123,saliency,fresh_full_partition,0.14,14,0.09672748259940735,0.09705416343752689,2764,0.1,0.09294826364280652,0.16411720980395036,0.29904676208760017,0.2922550834142773,0.005845274713848359,0.16
bxaic__X__gcn__seed2026,bxaic,X,gcn,2026,atom_occlusion,fresh_full_partition,0.04,4,0.09379895711299473,0.09412669709233917,2764,0.1,0.09290635933088094,0.06259459427760283,0.802923669467787,0.7100173101369062,0.005554342050159391,0.058823529411764705
bxaic__X__gcn__seed2026,bxaic,X,gcn,2026,saliency,fresh_full_partition,0.16,16,0.08986113982496037,0.09019030396968912,2764,0.1,0.09025345077790152,0.18178850575939354,0.2737617343685073,0.26781472248598864,0.005395800850008246,0.17777777777777778
bxaic__X__gcn__seed42,bxaic,X,gcn,42,atom_occlusion,fresh_full_partition,0.04,4,0.09423669974502104,0.09456428140876616,2764,0.1,0.09610191466144691,0.0622230383096552,0.8020244269668436,0.7059225123053968,0.005182786082211759,0.058823529411764705
bxaic__X__gcn__seed42,bxaic,X,gcn,42,saliency,fresh_full_partition,0.18,18,0.08959108607263455,0.08992034788598981,2764,0.1,0.09125746684215856,0.20315278814610818,0.24354394566351545,0.23897662641689074,0.005213757716344861,0.2
bxaic__X__gin__seed123,bxaic,X,gin,123,atom_occlusion,fresh_full_partition,0.04,4,0.09846467047986585,0.0987907230402711,2764,0.1,0.102210804000315,0.061712910598086285,0.801758658008658,0.6999022126192572,0.004672658370642845,0.058823529411764705
bxaic__X__gin__seed123,bxaic,X,gin,123,saliency,fresh_full_partition,0.23,23,0.09706400891277882,0.09739056804156261,2764,0.1,0.08485834092673213,0.25133197709260785,0.20200439425019515,0.19876265852706324,0.0042621387750795,0.25
bxaic__X__gin__seed2026,bxaic,X,gin,2026,atom_occlusion,fresh_full_partition,0.05,5,0.06766246295913446,0.06799965555842596,2764,0.1,0.0656042939264059,0.07262579665286935,0.7213340541653794,0.6564384774608021,0.0044778597134796224,0.06896551724137931
bxaic__X__gin__seed2026,bxaic,X,gin,2026,saliency,fresh_full_partition,0.24,24,0.08986630831782787,0.09019547059330062,2764,0.1,0.08239723600283488,0.2595329651730743,0.1981333863165563,0.1944695104255366,0.00304615712630229,0.2571428571428571
bxaic__X__gin__seed42,bxaic,X,gin,42,atom_occlusion,fresh_full_partition,0.05,5,0.06733268440033997,0.06766999626854965,2764,0.1,0.06388692022993937,0.07208980098514467,0.7254555822947034,0.6615686620647642,0.003941864045754944,0.06896551724137931
bxaic__X__gin__seed42,bxaic,X,gin,42,saliency,fresh_full_partition,0.26,26,0.08626013598879011,0.08659060248572,2764,0.1,0.07689286557996693,0.2819542628625634,0.1838925686364928,0.18111696897038995,0.0035675616895434466,0.28
google__benzene__gcn__seed123,google,benzene,gcn,123,atom_occlusion,fresh_full_partition,0.45,45,0.09554027777777778,0.09644383394383396,1000,0.1,0.10587710726599615,0.4728666583547232,0.6766849683516349,0.6128733041056742,0.0022313799445086743,0.47619047619047616
google__benzene__gcn__seed123,google,benzene,gcn,123,saliency,fresh_full_partition,0.45,45,0.09834999999999999,0.09925074925074928,1000,0.1,0.10369337591559814,0.4744959886169635,0.680047185602741,0.6181972667266785,0.0038607102067490036,0.47619047619047616
google__benzene__gcn__seed2026,google,benzene,gcn,2026,atom_occlusion,fresh_full_partition,0.44,44,0.09890833333333333,0.09980852480852492,1000,0.1,0.1111969111969112,0.4620307990393317,0.6873655040321707,0.6178901536959672,0.002104006893159015,0.4583333333333333
google__benzene__gcn__seed2026,google,benzene,gcn,2026,saliency,fresh_full_partition,0.45,45,0.09688611111111109,0.0977883227883228,1000,0.1,0.1097353305686639,0.47618392878211757,0.6745713690158134,0.6115481601678713,0.0055486503719030895,0.47619047619047616
google__benzene__gcn__seed42,google,benzene,gcn,42,atom_occlusion,fresh_full_partition,0.42,42,0.09807638888888888,0.09897741147741154,1000,0.1,0.10661316077982744,0.4470031209605476,0.7116982339204561,0.6397017650500623,0.0021690612984117414,0.4444444444444444
google__benzene__gcn__seed42,google,benzene,gcn,42,saliency,fresh_full_partition,0.41000000000000003,41,0.09551666666666667,0.09642024642024642,1000,0.1,0.10476706865595754,0.4407635394538074,0.7276804165693055,0.6541625163873185,0.005115136036151277,0.44
google__benzene__gin__seed123,google,benzene,gin,123,atom_occlusion,fresh_full_partition,0.37,37,0.09883194444444444,0.09973221223221229,1000,0.1,0.10740264073597407,0.3960291403936429,0.7951630562741674,0.7014006745215894,0.0017335046089476923,0.4
google__benzene__gin__seed123,google,benzene,gin,123,saliency,fresh_full_partition,0.43,43,0.0951138888888889,0.09601787101787104,1000,0.1,0.10226039531595087,0.455995499346743,0.7033385811163588,0.6357761786167357,0.004011432534600001,0.45454545454545453
google__benzene__gin__seed2026,google,benzene,gin,2026,atom_occlusion,fresh_full_partition,0.46,46,0.09646944444444444,0.09737207237207243,1000,0.1,0.1041652763874986,0.48964962249489113,0.6543404432293319,0.5963776333530374,0.0015362599399257543,0.48
google__benzene__gin__seed2026,google,benzene,gin,2026,saliency,fresh_full_partition,0.6,60,0.09701111111111112,0.09791319791319797,1000,0.1,0.10099901488790378,0.6209491789144725,0.528519605316991,0.4950248396220263,0.004485073547269745,0.6190476190476191
google__benzene__gin__seed42,google,benzene,gin,42,atom_occlusion,fresh_full_partition,0.41000000000000003,41,0.09363888888888888,0.09454434454434461,1000,0.1,0.10350409933743267,0.4370613336590888,0.7268431851765184,0.6512199905517758,0.0014129302414326568,0.4375
google__benzene__gin__seed42,google,benzene,gin,42,saliency,fresh_full_partition,0.41000000000000003,41,0.09556666666666666,0.09647019647019651,1000,0.1,0.1015972321527877,0.43881361527279933,0.7326074881630437,0.6588812155332623,0.003165211855143205,0.44
google__logic10__gcn__seed123,google,logic10,gcn,123,atom_occlusion,fresh_full_partition,0.61,61,0.09496888723681,0.09965816761382129,192,0.1,0.10852034869892013,0.6360910074251974,0.6884695042061113,0.6338573298139032,0.0011692176870748297,0.6363636363636364
google__logic10__gcn__seed123,google,logic10,gcn,123,saliency,fresh_full_partition,0.86,86,0.09260584314582476,0.09730736727460278,192,0.1,0.08481284340659338,0.8881680791425722,0.5099674042971485,0.4884275857658943,0.004450549176400329,0.88
google__logic10__gcn__seed2026,google,logic10,gcn,2026,atom_occlusion,fresh_full_partition,0.58,58,0.09240832271622712,0.09711087026692017,192,0.1,0.1004646023619238,0.60719387489691,0.7271172527868954,0.674075512343632,0.002852656814327295,0.6
google__logic10__gcn__seed2026,google,logic10,gcn,2026,saliency,fresh_full_partition,0.84,84,0.09490619036804697,0.09959579559930055,192,0.1,0.08815247252747252,0.8651472284711412,0.5214690461511559,0.49860889684167603,0.0034336954478761195,0.8636363636363636
google__logic10__gcn__seed42,google,logic10,gcn,42,atom_occlusion,fresh_full_partition,0.61,61,0.09486030292556029,0.09955014591558327,192,0.1,0.10371551811283954,0.6364788196647176,0.690150209996586,0.6387540399471652,0.001557029926595144,0.6363636363636364
