cell_id,family,task,model,seed,method,origin,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction,random_atom_fraction,saving_vs_random
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,historical_full_partition,0.8300000000000001,83,0.09735935030052681,0.09783744386498824,1887,0.1,0.09772876089199861,0.8468982391419475,0.33408729227598327,0.3214103922293006,,0.8461538461538461,0.90726752777742,0.06036928863547253
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,fresh_full_partition,0.55,55,0.09808541573247458,0.09856312472838014,1887,0.1,0.09143814486261698,0.5656559959354353,0.49220644033770783,0.464303377153111,0.0,0.5641025641025641,0.90726752777742,0.3416115318419848
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,fresh_full_partition,0.7000000000000001,70,0.09747100041217689,0.09794903483992597,1887,0.1,0.09454752220047292,0.7179879589860141,0.3907315663706371,0.37388867056163994,0.0,0.7142857142857143,0.90726752777742,0.18927956879140595
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,historical_full_partition,0.71,71,0.09701217054158234,0.09749044799362748,1887,0.1,0.09280763677758809,0.727164883610353,0.3862174933141384,0.36898846172321054,,0.725,0.90726752777742,0.180102644167067
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,historical_full_partition,0.87,87,0.09809085103202754,0.09856855714906769,1887,0.1,0.0977877037839139,0.886845717303693,0.31902961157020593,0.30732862631320657,,0.8846153846153846,0.90726752777742,0.020421810473727042
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,fresh_full_partition,0.54,54,0.09412361079027748,0.09460341819981781,1887,0.1,0.09275727405803205,0.5561347932755644,0.4998783380518366,0.4704997266994703,0.0,0.5555555555555556,0.90726752777742,0.35113273450185567
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,fresh_full_partition,0.86,86,0.09644123761770823,0.09691981747066637,1887,0.1,0.09360846571864441,0.8759106827718605,0.3232374491048879,0.3125549310016814,0.0,0.875,0.90726752777742,0.031356845005559575
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,historical_full_partition,0.68,68,0.09666634960752611,0.09714481022743889,1887,0.1,0.09511959796204518,0.6955214960377726,0.4027538760795683,0.383703439869766,,0.6944444444444444,0.90726752777742,0.21174603173964746
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,historical_full_partition,0.6900000000000001,69,0.09673927320986148,0.09721769520498517,1887,0.1,0.09216024831211624,0.7066609235190675,0.3997637105943275,0.381720920487301,,0.7058823529411765,0.90726752777742,0.20060660425835253
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,fresh_full_partition,0.33,33,0.09527038350567764,0.09574958351441513,1887,0.1,0.08987917574815248,0.34400569764086136,0.7918831797012759,0.7157909375473409,0.0,0.34375,0.90726752777742,0.5632618301365586
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,fresh_full_partition,0.55,55,0.09655424655424656,0.09703276655077649,1887,0.1,0.09273047307021319,0.5656559959354353,0.49220181252829237,0.463459531876949,0.0,0.5641025641025641,0.90726752777742,0.3416115318419848
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,historical_full_partition,0.55,55,0.09525724819842468,0.09573645516442257,1887,0.1,0.0965217330945539,0.5656559959354353,0.49334135497789355,0.46567065076521585,,0.5641025641025641,0.90726752777742,0.3416115318419848
