cell_id,family,task,model,seed,method,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,atom_occlusion,0.62,62,0.08910805289481757,0.0981267850443738,100,0.1,0.10778630287840815,0.6396484956141744,0.4326898540498293,0.40836035376534846,0.0,0.6388888888888888
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,saliency,0.74,74,0.07956243756243755,0.08867568075488866,100,0.1,0.07270813397129187,0.757421394510063,0.3847662646816838,0.3721194610142572,0.0,0.7567567567567568
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,atom_occlusion,0.6,60,0.09049708624708624,0.09950206559117449,100,0.1,0.09008794714057872,0.6150398605177398,0.4677176156547713,0.4484054043611745,0.0,0.6153846153846154
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,saliency,0.7000000000000001,70,0.08859228679816912,0.09761612554274168,100,0.1,0.05433491873623453,0.7178367194943758,0.4124317330248926,0.39926595191470304,0.0,0.7142857142857143
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,atom_occlusion,0.89,89,0.08704805289107558,0.09608718108027284,100,0.1,0.08599720501918039,0.9076411038403573,0.6472813827623163,0.6140813646263523,0.0,0.9047619047619048
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,saliency,0.89,89,0.08465462795332294,0.09371745341913161,100,0.1,0.08002894499509638,0.9076411038403573,0.6465834448202501,0.6096034826274189,0.0,0.9047619047619048
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,atom_occlusion,0.89,89,0.08835564766178877,0.09738182936810766,100,0.1,0.09682633962683522,0.9076411038403573,0.6433093603751542,0.6089854649451479,0.0,0.9047619047619048
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,saliency,0.79,79,0.08344387706441064,0.09251869016278277,100,0.1,0.07894655698372982,0.8064764227207614,0.7227627738185304,0.6734735290591303,0.0,0.8055555555555556
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,atom_occlusion,0.89,89,0.08935622194541931,0.09837249697566265,100,0.1,0.08719874162294428,0.9076411038403573,0.6459408196549065,0.6118758184650737,0.0,0.9047619047619048
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,saliency,0.91,91,0.07586098572991391,0.08501087696031079,100,0.1,0.06689546363071369,0.9281710810469108,0.6467222693209638,0.6213306249656304,0.0,0.9240384615384616
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,atom_occlusion,0.9,90,0.08959584914669044,0.09860975163038652,100,0.1,0.09818360199860063,0.9143819189606812,0.6376329116479069,0.6036684013001069,0.0,0.9130434782608695
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,saliency,0.78,78,0.09005640592416171,0.09906574843976408,100,0.1,0.10058882761259966,0.7973471814781139,0.7156857645278382,0.6596759336824669,0.0,0.7948717948717948
