cell_id,family,task,model,seed,method,policy,alpha,n_calibration,n_test,fraction,index,empirical_risk,corrected_risk,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,include_all_exact_ties_v2,0.1,119,109,0.07,7,0.09243697478991597,0.1,0.06422018348623854,0.09830961172380934,0.3859436435124509,0.3859436435124509,0.009945317620907546,0.09090909090909091
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,include_all_exact_ties_v2,0.2,119,109,0.05,5,0.15966386554621848,0.16666666666666666,0.11773700305810399,0.07673983553135642,0.4627675840978594,0.4551223241590215,0.007699358183764264,0.07142857142857142
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,index_tiebreak_v1,0.05,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,index_tiebreak_v1,0.1,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,index_tiebreak_v1,0.2,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,include_all_exact_ties_v2,0.05,119,109,0.01,1,0.004201680672268907,0.0125,0.015290519877675842,0.039361636122008124,0.9908256880733946,0.9755351681957186,0.0007612789722881466,0.037037037037037035
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,include_all_exact_ties_v2,0.1,119,109,0.01,1,0.004201680672268907,0.0125,0.015290519877675842,0.039361636122008124,0.9908256880733946,0.9755351681957186,0.0007612789722881466,0.037037037037037035
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,include_all_exact_ties_v2,0.2,119,109,0.01,1,0.004201680672268907,0.0125,0.015290519877675842,0.039361636122008124,0.9908256880733946,0.9755351681957186,0.0007612789722881466,0.037037037037037035
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,index_tiebreak_v1,0.05,119,109,0.07,7,0.04201680672268908,0.05,0.03669724770642202,0.08836429410290182,0.4382372214941023,0.4382372214941023,0.0,0.08695652173913043
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,index_tiebreak_v1,0.1,119,109,0.01,1,0.06302521008403361,0.07083333333333333,0.07951070336391437,0.03860035714971998,0.9357798165137615,0.91131498470948,0.0,0.037037037037037035
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,index_tiebreak_v1,0.2,119,109,0.01,1,0.06302521008403361,0.07083333333333333,0.07951070336391437,0.03860035714971998,0.9357798165137615,0.91131498470948,0.0,0.037037037037037035
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,include_all_exact_ties_v2,0.05,119,109,0.07,7,0.04201680672268908,0.05,0.03669724770642202,0.09373786598520226,0.422054754623562,0.422054754623562,0.005373571882300463,0.08888888888888889
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,include_all_exact_ties_v2,0.1,119,109,0.01,1,0.06302521008403361,0.07083333333333333,0.06574923547400612,0.03963146882573181,0.9357798165137615,0.9250764525993883,0.001031111676011838,0.037037037037037035
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,include_all_exact_ties_v2,0.2,119,109,0.01,1,0.06302521008403361,0.07083333333333333,0.06574923547400612,0.03963146882573181,0.9357798165137615,0.9250764525993883,0.001031111676011838,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,index_tiebreak_v1,0.05,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,index_tiebreak_v1,0.1,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,index_tiebreak_v1,0.2,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,include_all_exact_ties_v2,0.05,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.019877675840978597,0.039230574523056616,0.9908256880733946,0.9709480122324159,0.0006302173733366394,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,include_all_exact_ties_v2,0.1,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.019877675840978597,0.039230574523056616,0.9908256880733946,0.9709480122324159,0.0006302173733366394,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,include_all_exact_ties_v2,0.2,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.019877675840978597,0.039230574523056616,0.9908256880733946,0.9709480122324159,0.0006302173733366394,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,index_tiebreak_v1,0.05,119,109,0.07,7,0.04201680672268908,0.05,0.027522935779816515,0.08836429410290182,0.44741153342070783,0.44741153342070783,0.0,0.08695652173913043
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,index_tiebreak_v1,0.1,119,109,0.01,1,0.0546218487394958,0.0625,0.05657492354740062,0.03860035714971998,0.963302752293578,0.9342507645259939,0.0,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,index_tiebreak_v1,0.2,119,109,0.01,1,0.0546218487394958,0.0625,0.05657492354740062,0.03860035714971998,0.963302752293578,0.9342507645259939,0.0,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,include_all_exact_ties_v2,0.05,119,109,0.07,7,0.04201680672268908,0.05,0.027522935779816515,0.09510245584807674,0.4284179632803487,0.4284179632803487,0.00673816174517496,0.08888888888888889
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,include_all_exact_ties_v2,0.1,119,109,0.01,1,0.0546218487394958,0.0625,0.04281345565749236,0.03950040722678031,0.963302752293578,0.948012232415902,0.0009000500770603307,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,include_all_exact_ties_v2,0.2,119,109,0.01,1,0.0546218487394958,0.0625,0.04281345565749236,0.03950040722678031,0.963302752293578,0.948012232415902,0.0009000500770603307,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,index_tiebreak_v1,0.05,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,index_tiebreak_v1,0.1,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,index_tiebreak_v1,0.2,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,include_all_exact_ties_v2,0.05,119,109,0.01,1,0.008403361344537815,0.016666666666666666,0.015290519877675842,0.03946616590813533,0.9892966360856269,0.974006116207951,0.0008658087584153424,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,include_all_exact_ties_v2,0.1,119,109,0.01,1,0.008403361344537815,0.016666666666666666,0.015290519877675842,0.03946616590813533,0.9892966360856269,0.974006116207951,0.0008658087584153424,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,include_all_exact_ties_v2,0.2,119,109,0.01,1,0.008403361344537815,0.016666666666666666,0.015290519877675842,0.03946616590813533,0.9892966360856269,0.974006116207951,0.0008658087584153424,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,index_tiebreak_v1,0.05,119,109,0.08,8,0.037815126050420166,0.04583333333333333,0.04281345565749236,0.09791957119118512,0.3874284482082648,0.3862052066180507,0.0,0.09433962264150944
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,index_tiebreak_v1,0.1,119,109,0.01,1,0.06302521008403361,0.07083333333333333,0.10091743119266056,0.03860035714971998,0.908256880733945,0.8899082568807339,0.0,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,index_tiebreak_v1,0.2,119,109,0.01,1,0.06302521008403361,0.07083333333333333,0.10091743119266056,0.03860035714971998,0.908256880733945,0.8899082568807339,0.0,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,include_all_exact_ties_v2,0.05,119,109,0.08,8,0.03361344537815126,0.041666666666666664,0.04281345565749236,0.1037699127976991,0.37027063150916373,0.36904738991894964,0.0058503416065139825,0.1
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,include_all_exact_ties_v2,0.1,119,109,0.01,1,0.06302521008403361,0.07083333333333333,0.09174311926605505,0.039279260904716555,0.908256880733945,0.8990825688073395,0.0006789037549965774,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,include_all_exact_ties_v2,0.2,119,109,0.01,1,0.06302521008403361,0.07083333333333333,0.09174311926605505,0.039279260904716555,0.908256880733945,0.8990825688073395,0.0006789037549965774,0.037037037037037035
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,index_tiebreak_v1,0.05,1887,1847,0.67,67,0.04615611086199322,0.046661324786325134,0.042981284041111054,0.6886269315023922,0.43157330313938086,0.4219955522750513,0.0,0.6875
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,index_tiebreak_v1,0.1,1887,1847,0.56,56,0.09393918805683511,0.09441909314790772,0.09267291843090522,0.5771687133266318,0.4832019378062315,0.4575426484298666,0.0,0.5757575757575758
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,index_tiebreak_v1,0.2,1887,1847,0.43,43,0.19695577930872052,0.19738112052730658,0.19548206686133082,0.4472760748792189,0.5416887048259439,0.47467524879660444,0.0,0.4444444444444444
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,include_all_exact_ties_v2,0.05,1887,1847,0.67,67,0.046036081330198986,0.04654135882949477,0.04282857625440218,0.6897535015107409,0.43096308537344363,0.42149587618373835,0.0011265700083483894,0.6875
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,include_all_exact_ties_v2,0.1,1887,1847,0.56,56,0.09379198202727614,0.09427196508764409,0.09238207950985516,0.5778899614712023,0.48284095088219287,0.45737542984073337,0.0007212481445705579,0.5757575757575758
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,include_all_exact_ties_v2,0.2,1887,1847,0.43,43,0.19685273508802922,0.197278130885122,0.19535365349523473,0.4477704796404621,0.5413235085933796,0.47449216476298467,0.0004944047612430666,0.4444444444444444
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,index_tiebreak_v1,0.05,1887,1847,0.92,92,0.043930582165876295,0.04443697486600081,0.041215195350279704,0.9357253254577885,0.32044838416529836,0.3158142344396046,0.0,0.9333333333333333
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,index_tiebreak_v1,0.1,1887,1847,0.85,85,0.0959663283192695,0.0964451597131695,0.09052768252822513,0.8652452057581667,0.3270188650935088,0.3161918670794107,0.0,0.8636363636363636
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,index_tiebreak_v1,0.2,1887,1847,0.74,74,0.1929615135497489,0.1933889703751984,0.1855329617443857,0.756226167854029,0.33183032536717577,0.3085820519664705,0.0,0.7540983606557377
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,include_all_exact_ties_v2,0.05,1887,1847,0.92,92,0.04371996430819961,0.04422646856439281,0.04117354777208638,0.9390961120947875,0.3192471651916072,0.31465169986448766,0.003370786636998126,0.9354838709677419
