cell_id,target,method,policy,alpha,rule,q,lambda,empirical_calibration_risk,corrected_calibration_risk,fallback_full,n_calibration,n_test,risk,mean_atom_fraction,precision,iou,full_molecule_fraction
liver__gcn__seed123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.2,naive,76,0.76,0.17189411895294246,0.19625017427785593,False,33,31,0.1553527118043247,0.7996245175856377,0.284376863367328,0.26918929926434526,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,saliency,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.012887112887112882,0.04191984486102133,False,33,31,0.06988262633423924,0.9738696534249016,0.26382482393690104,0.25854685978252806,0.3548387096774194
liver__gcn__seed123,hepatotoxic_class,saliency,index_tiebreak_v1,0.05,naive,90,0.9,0.04704462204462204,0.07507272139625082,False,33,31,0.12522155264090745,0.9252950000969127,0.2602863473852438,0.24988847811201734,0.06451612903225806
liver__gcn__seed123,hepatotoxic_class,saliency,index_tiebreak_v1,0.1,corrected,89,0.89,0.05931013431013432,0.08697748330101274,False,33,31,0.12522155264090745,0.9199599374467046,0.2613903070281029,0.25098134106945635,0.06451612903225806
liver__gcn__seed123,hepatotoxic_class,saliency,index_tiebreak_v1,0.1,naive,89,0.89,0.05931013431013432,0.08697748330101274,False,33,31,0.12522155264090745,0.9199599374467046,0.2613903070281029,0.25098134106945635,0.06451612903225806
liver__gcn__seed123,hepatotoxic_class,saliency,index_tiebreak_v1,0.2,corrected,83,0.8300000000000001,0.17334979834979838,0.19766303957480433,False,33,31,0.21648154712670842,0.8555840841239669,0.25246943102712127,0.23370370160989093,0.0
liver__gcn__seed123,hepatotoxic_class,saliency,index_tiebreak_v1,0.2,naive,83,0.8300000000000001,0.17334979834979838,0.19766303957480433,False,33,31,0.21648154712670842,0.8555840841239669,0.25246943102712127,0.23370370160989093,0.0
liver__gcn__seed123,hepatotoxic_class,saliency,include_all_exact_ties_v2,0.05,corrected,95,0.9500000000000001,0.012887112887112882,0.04191984486102133,False,33,31,0.06527433140336365,0.9753359290847257,0.2648721636939182,0.2600131354423521,0.3870967741935484
liver__gcn__seed123,hepatotoxic_class,saliency,include_all_exact_ties_v2,0.05,naive,90,0.9,0.04704462204462204,0.07507272139625082,False,33,31,0.12522155264090745,0.9278098716933725,0.25976655654287234,0.24939904494376228,0.06451612903225806
liver__gcn__seed123,hepatotoxic_class,saliency,include_all_exact_ties_v2,0.1,corrected,89,0.89,0.05931013431013432,0.08697748330101274,False,33,31,0.12522155264090745,0.9213624619908841,0.2610411937757638,0.25066258549123377,0.06451612903225806
liver__gcn__seed123,hepatotoxic_class,saliency,include_all_exact_ties_v2,0.1,naive,89,0.89,0.05931013431013432,0.08697748330101274,False,33,31,0.12522155264090745,0.9213624619908841,0.2610411937757638,0.25066258549123377,0.06451612903225806
liver__gcn__seed123,hepatotoxic_class,saliency,include_all_exact_ties_v2,0.2,corrected,83,0.8300000000000001,0.15213767713767715,0.17707480428068664,False,33,31,0.21059317027058966,0.863000025410876,0.2515804124931064,0.2344323636288755,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,saliency,include_all_exact_ties_v2,0.2,naive,82,0.8200000000000001,0.18244070744070745,0.206486568986569,False,33,31,0.22672220252865416,0.8563438230993703,0.25040848143936223,0.23324237820698207,0.03225806451612903
liver__gcn__seed123,observed_class,atom_occlusion,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.01955364896541367,0.04839030634878386,False,33,31,0.053507424475166404,0.9738696534249016,0.27027897413330043,0.2675698033675488,0.3548387096774194
liver__gcn__seed123,observed_class,atom_occlusion,index_tiebreak_v1,0.05,naive,91,0.91,0.04774125656478597,0.07574886666582167,False,33,31,0.11264720942140297,0.939553010556796,0.27114755438310334,0.26795094076288395,0.06451612903225806
liver__gcn__seed123,observed_class,atom_occlusion,index_tiebreak_v1,0.1,corrected,89,0.89,0.06128239951769363,0.08889174070834971,False,33,31,0.13885934853676787,0.9199599374467046,0.26934333965855484,0.26264107801589726,0.06451612903225806
liver__gcn__seed123,observed_class,atom_occlusion,index_tiebreak_v1,0.1,naive,88,0.88,0.07449788773318185,0.1017185380939706,False,33,31,0.16394895427153494,0.9067384790260051,0.26660117167733566,0.2589153553224705,0.03225806451612903
liver__gcn__seed123,observed_class,atom_occlusion,index_tiebreak_v1,0.2,corrected,83,0.8300000000000001,0.16299093063798947,0.1876088444427545,False,33,31,0.24978337075111273,0.8555840841239669,0.26202057843053894,0.24796431664626287,0.0
liver__gcn__seed123,observed_class,atom_occlusion,index_tiebreak_v1,0.2,naive,81,0.81,0.19454271218977098,0.21823263241948362,False,33,31,0.30402930402930395,0.836277122229724,0.25643118218576155,0.2396264748126541,0.0
liver__gcn__seed123,observed_class,atom_occlusion,include_all_exact_ties_v2,0.05,corrected,95,0.9500000000000001,0.01955364896541367,0.04839030634878386,False,33,31,0.053507424475166404,0.9738696534249016,0.27027897413330043,0.2675698033675488,0.3548387096774194
liver__gcn__seed123,observed_class,atom_occlusion,include_all_exact_ties_v2,0.05,naive,90,0.9,0.046705255528784934,0.07474333624852655,False,33,31,0.10660128402063884,0.9269492598156885,0.2708628742351154,0.2641717092778778,0.06451612903225806
