cell_id,target,method,policy,alpha,rule_corrected,q_corrected,lambda_corrected,empirical_calibration_risk_corrected,corrected_calibration_risk_corrected,fallback_full_corrected,n_calibration_corrected,n_test_corrected,risk_corrected,mean_atom_fraction_corrected,precision_corrected,iou_corrected,full_molecule_fraction_corrected,rule_naive,q_naive,lambda_naive,empirical_calibration_risk_naive,corrected_calibration_risk_naive,fallback_full_naive,n_calibration_naive,n_test_naive,risk_naive,mean_atom_fraction_naive,precision_naive,iou_naive,full_molecule_fraction_naive,same_point,delta_q,delta_lambda,delta_risk,delta_mean_atom_fraction,delta_precision,delta_iou,delta_full_molecule_fraction
liver__gcn__seed123,hepatotoxic_class,saliency,include_all_exact_ties_v2,0.1,corrected,89,0.89,0.05931013431013432,0.08697748330101274,False,33,31,0.12522155264090745,0.9213624619908841,0.2610411937757638,0.25066258549123377,0.06451612903225806,naive,89,0.89,0.05931013431013432,0.08697748330101274,False,33,31,0.12522155264090745,0.9213624619908841,0.2610411937757638,0.25066258549123377,0.06451612903225806,True,0,0.0,0.0,0.0,0.0,0.0,0.0
liver__gcn__seed123,hepatotoxic_class,saliency,include_all_exact_ties_v2,0.2,corrected,83,0.8300000000000001,0.15213767713767715,0.17707480428068664,False,33,31,0.21059317027058966,0.863000025410876,0.2515804124931064,0.2344323636288755,0.03225806451612903,naive,82,0.8200000000000001,0.18244070744070745,0.206486568986569,False,33,31,0.22672220252865416,0.8563438230993703,0.25040848143936223,0.23324237820698207,0.03225806451612903,False,1,0.010000000000000009,-0.016129032258064502,0.0066562023115056546,0.0011719310537441907,0.0011899854218934414,0.0
liver__gcn__seed123,observed_class,atom_occlusion,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.01955364896541367,0.04839030634878386,False,33,31,0.053507424475166404,0.9738696534249016,0.27027897413330043,0.2675698033675488,0.3548387096774194,naive,91,0.91,0.04774125656478597,0.07574886666582167,False,33,31,0.11264720942140297,0.939553010556796,0.27114755438310334,0.26795094076288395,0.06451612903225806,False,4,0.040000000000000036,-0.05913978494623656,0.03431664286810565,-0.0008685802498029083,-0.00038113739533512936,0.2903225806451613
liver__gcn__seed123,observed_class,atom_occlusion,index_tiebreak_v1,0.1,corrected,89,0.89,0.06128239951769363,0.08889174070834971,False,33,31,0.13885934853676787,0.9199599374467046,0.26934333965855484,0.26264107801589726,0.06451612903225806,naive,88,0.88,0.07449788773318185,0.1017185380939706,False,33,31,0.16394895427153494,0.9067384790260051,0.26660117167733566,0.2589153553224705,0.03225806451612903,False,1,0.010000000000000009,-0.025089605734767068,0.013221458420699439,0.002742167981219179,0.0037257226934267473,0.03225806451612903
liver__gcn__seed123,observed_class,atom_occlusion,index_tiebreak_v1,0.2,corrected,83,0.8300000000000001,0.16299093063798947,0.1876088444427545,False,33,31,0.24978337075111273,0.8555840841239669,0.26202057843053894,0.24796431664626287,0.0,naive,81,0.81,0.19454271218977098,0.21823263241948362,False,33,31,0.30402930402930395,0.836277122229724,0.25643118218576155,0.2396264748126541,0.0,False,2,0.020000000000000018,-0.054245933278191216,0.01930696189424297,0.005589396244777389,0.008337841833608778,0.0
liver__gcn__seed123,observed_class,atom_occlusion,include_all_exact_ties_v2,0.05,corrected,95,0.9500000000000001,0.01955364896541367,0.04839030634878386,False,33,31,0.053507424475166404,0.9738696534249016,0.27027897413330043,0.2675698033675488,0.3548387096774194,naive,90,0.9,0.046705255528784934,0.07474333624852655,False,33,31,0.10660128402063884,0.9269492598156885,0.2708628742351154,0.2641717092778778,0.06451612903225806,False,5,0.050000000000000044,-0.05309385954547244,0.046920393609213074,-0.0005839001018149714,0.003398094089671011,0.2903225806451613
liver__gcn__seed123,observed_class,atom_occlusion,include_all_exact_ties_v2,0.1,corrected,88,0.88,0.06843728167257578,0.09583618515279413,False,33,31,0.16394895427153494,0.9067384790260051,0.26660117167733566,0.2589153553224705,0.03225806451612903,naive,88,0.88,0.06843728167257578,0.09583618515279413,False,33,31,0.16394895427153494,0.9067384790260051,0.26660117167733566,0.2589153553224705,0.03225806451612903,True,0,0.0,0.0,0.0,0.0,0.0,0.0
liver__gcn__seed123,observed_class,atom_occlusion,include_all_exact_ties_v2,0.2,corrected,83,0.8300000000000001,0.15866192630898515,0.1834071637704856,False,33,31,0.24619914136043172,0.8567788272541939,0.2629555947933253,0.24925463922690805,0.0,naive,81,0.81,0.18696695461401344,0.21087969124301306,False,33,31,0.27445941155618575,0.8397774039280035,0.2600704760080072,0.2436898590797735,0.0,False,2,0.020000000000000018,-0.028260270195754028,0.017001423326190368,0.002885118785318108,0.005564780147134546,0.0
liver__gcn__seed123,observed_class,gradinput,index_tiebreak_v1,0.05,corrected,98,0.98,0.0,0.029411764705882353,False,33,31,0.0,1.0,0.2706459829621886,0.2706459829621886,1.0,naive,95,0.9500000000000001,0.04985667926844397,0.0778020710546662,False,33,31,0.08576548899129544,0.9738696534249016,0.268666070907494,0.2659569001417424,0.3548387096774194,False,3,0.029999999999999916,-0.08576548899129544,0.026130346575098384,0.0019799120546946103,0.004689082820446222,0.6451612903225806
liver__gcn__seed123,observed_class,gradinput,index_tiebreak_v1,0.1,corrected,95,0.9500000000000001,0.04985667926844397,0.0778020710546662,False,33,31,0.08576548899129544,0.9738696534249016,0.268666070907494,0.2659569001417424,0.3548387096774194,naive,91,0.91,0.09844055726408668,0.12495701146220177,False,33,31,0.19956477214541732,0.939553010556796,0.2594650030634552,0.2547359433946608,0.06451612903225806,False,4,0.040000000000000036,-0.11379928315412188,0.03431664286810565,0.00920106784403879,0.011220956747081567,0.2903225806451613
