dataset,seed,method,proxy,evaluation_split,stratum,policy,aggregation,n_pairs,n_components,nominal_fraction,risk,retained_fraction,precision,iou,calibration_unit,calibration_empirical_risk,calibration_corrected_risk
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,direction_error,fixed_20_percent,pair_weighted,29,9,0.2,0.8572592692835461,0.20630236681398334,0.1635740105060592,0.09053123971867189,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,direction_error,fixed_20_percent,component_weighted,29,9,0.2,0.817468006192982,0.2070725250124708,0.2104871685141293,0.11798006762663323,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,calibration,all,fixed_50_percent,pair_weighted,59,13,0.5,0.5636407981827388,0.5037690267901072,0.17107235493659423,0.14375521758718854,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,calibration,all,fixed_50_percent,component_weighted,59,13,0.5,0.4141512496489706,0.5037538879885226,0.2448709848831823,0.21687037054331212,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,all,fixed_50_percent,pair_weighted,40,10,0.5,0.5182583458915119,0.5046996201457604,0.17743480091419694,0.15387613829180244,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,all,fixed_50_percent,component_weighted,40,10,0.5,0.4990373328443164,0.5039774738757201,0.2127413249371115,0.19025995178020066,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,correct_direction,fixed_50_percent,pair_weighted,11,5,0.5,0.43320051160960255,0.5044544142424261,0.18669147992615223,0.17631056146864366,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,correct_direction,fixed_50_percent,component_weighted,11,5,0.5,0.39376082251082256,0.5050489918987991,0.20687768106372756,0.20151822958496496,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,direction_error,fixed_50_percent,pair_weighted,29,9,0.5,0.5505216623432705,0.5047926292815079,0.17392364680621394,0.1453665295005868,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,direction_error,fixed_50_percent,component_weighted,29,9,0.5,0.5358849082856901,0.504091535304556,0.1965493226202553,0.16740562690394073,none,,
