family,task,method,outcome,n_cells,pearson_r,spearman_rho,mean_absolute_error,median_absolute_error,signed_bias_subset_minus_full,max_absolute_error
google,logic10,ig,precision,6,0.9999619856336577,1.0,0.0020457669326084207,0.0021682336255019474,0.0020457669326084207,0.003195225905047172
google,logic10,ig,iou,6,0.9999259235209402,1.0,0.0023361265876338613,0.0024687601607935317,0.0023361265876338613,0.0032433466393551047
google,logic10,ig,selected_grid_fraction,6,0.9994395155875767,0.9856107606091623,0.001666666666666668,0.0,0.001666666666666668,0.010000000000000009
google,logic7,gradinput,risk,6,1.0,1.0,4.972873964466847e-17,4.5102810375396984e-17,-4.972873964466847e-17,1.1102230246251565e-16
google,logic7,gradinput,atom_fraction,6,0.9999999999999998,1.0,9.251858538542972e-17,5.551115123125783e-17,-1.850371707708594e-17,2.220446049250313e-16
google,logic7,gradinput,precision,6,1.0,1.0,6.013708050052931e-17,6.938893903907228e-17,-3.23815048849004e-17,1.1102230246251565e-16
google,logic7,gradinput,iou,6,1.0,1.0,3.23815048849004e-17,2.7755575615628914e-17,-1.3877787807814457e-17,5.551115123125783e-17
google,logic7,gradinput,selected_grid_fraction,6,0.9999999999999998,1.0,0.0,0.0,0.0,0.0
google,logic7,ig,risk,6,1.0,1.0,5.4354668913939954e-17,5.551115123125783e-17,-5.4354668913939954e-17,9.020562075079397e-17
google,logic7,ig,atom_fraction,6,1.0,1.0,7.401486830834377e-17,1.1102230246251565e-16,0.0,1.1102230246251565e-16
google,logic7,ig,precision,6,0.9999999999999999,1.0,6.47630097698008e-17,4.163336342344337e-17,-6.47630097698008e-17,1.6653345369377348e-16
google,logic7,ig,iou,6,0.9999999999999999,1.0,6.013708050052931e-17,4.163336342344337e-17,-6.013708050052931e-17,1.1102230246251565e-16
google,logic7,ig,selected_grid_fraction,6,0.9999999999999999,1.0,0.0,0.0,0.0,0.0
google,logic8,gradinput,risk,6,-0.4463808283353637,-0.6571428571428573,0.01418064574314574,0.01641278467908907,0.002071495231821268,0.02556048058221963
google,logic8,gradinput,atom_fraction,6,0.8977222096844932,0.8932596002688613,0.007293654982988673,0.006069015840014291,-0.002884121245367577,0.017375744062708365
google,logic8,gradinput,precision,6,0.9142402098888356,0.8857142857142858,0.0030910718092890532,0.0029951426268079173,0.0022546790147840723,0.005850771846955594
google,logic8,gradinput,iou,6,0.7891688275791652,0.8857142857142858,0.004126898096533271,0.0036474569252802624,0.0016952601463464296,0.0062523204594252535
google,logic8,gradinput,selected_grid_fraction,6,0.9154413807389322,0.8932596002688613,0.006666666666666691,0.00500000000000006,-0.003333333333333355,0.020000000000000018
google,logic8,ig,risk,6,0.9071960373025367,0.5428571428571429,0.011763321622017264,0.011565774201643772,-0.01158255432168478,0.02475112930547714
google,logic8,ig,atom_fraction,6,0.9850694516271935,0.8116794499134279,0.012190047024187634,0.010948042298893235,0.011711352883668332,0.03418010897667001
google,logic8,ig,precision,6,0.9938918504871402,0.942857142857143,0.0033411622041311095,0.0032991333148961466,0.00203623094357828,0.005524150015417284
google,logic8,ig,iou,6,0.9935179247374214,1.0,0.0038368505141114415,0.003312339939777531,0.002994557231348375,0.006922042051041466
google,logic8,ig,selected_grid_fraction,6,0.9875136479893472,0.8116794499134279,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.030000000000000027
