method,score_origin,q,risk,mean_atom_fraction,precision,iou,scope
gradinput,P01_checkpoint_rerun,35,0.3929173382357314,0.3708167592768126,0.34496018686709246,0.2484562813801585,all
gradinput,P01_checkpoint_rerun,36,0.38940846647228594,0.3770829257526961,0.3433603398258845,0.24856018785772147,all
gradinput,P01_checkpoint_rerun,37,0.38077464876448436,0.3896106875764167,0.3403023434853744,0.2492920545988521,all
gradinput,P01_checkpoint_rerun,38,0.3753225141412668,0.3993984527772075,0.33770801703281345,0.24931603576496258,all
gradinput,P01_checkpoint_rerun,39,0.3701404636026495,0.4082696190713175,0.3358249179984419,0.24988271247310434,all
gradinput,P01_checkpoint_rerun,40,0.3658677958007745,0.4145591984157344,0.3347621990372429,0.25033951642513086,all
gradinput,P01_checkpoint_rerun,41,0.35648580789235756,0.4303898690599578,0.3310949206458619,0.2507460721861276,all
gradinput,P01_checkpoint_rerun,42,0.35117815850368467,0.4398554158880383,0.32895243395714024,0.25094527536729855,all
gradinput,P01_checkpoint_rerun,43,0.3454752583628892,0.450050795678216,0.32696251402177895,0.2513173183229066,all
gradinput,P01_checkpoint_rerun,44,0.3408847709370964,0.45819079115567507,0.3254325087631973,0.25153062648717744,all
gradinput,P01_checkpoint_rerun,45,0.33580700759195226,0.4671690544551717,0.3236885103903221,0.25181214996072954,all
gradinput,P01_checkpoint_rerun,46,0.32734130685479873,0.48145240830700936,0.3206029499522986,0.25186057835402287,all
gradinput,P01_checkpoint_rerun,47,0.32419391402603626,0.487524496280473,0.3197453544731138,0.252182417243594,all
gradinput,P01_checkpoint_rerun,48,0.31631633448858654,0.49969655493487414,0.31786386236487074,0.2529013997460878,all
gradinput,P01_checkpoint_rerun,49,0.3114737742122238,0.5087908781930854,0.3163205197934728,0.2530101722796798,all
gradinput,P01_checkpoint_rerun,50,0.3112197628513926,0.5094956939082281,0.3161567992560106,0.252947657265705,all
gradinput,P01_checkpoint_rerun,51,0.300203368006904,0.5299123034371523,0.31233278777363155,0.25302585636166114,all
gradinput,P01_checkpoint_rerun,52,0.29759474644945283,0.53567224485109,0.3116143372813481,0.2531950335565333,all
gradinput,P01_checkpoint_rerun,53,0.2883526538717579,0.5511786853497651,0.30920344710882747,0.25372523538854014,all
gradinput,P01_checkpoint_rerun,54,0.2852918524963965,0.557139401899669,0.30855847362299804,0.2541143266392359,all
gradinput,P01_checkpoint_rerun,55,0.2790993121931508,0.5686496918254478,0.30665548110903895,0.25402659476733863,all
gradinput,P01_checkpoint_rerun,56,0.2723488402778962,0.5805163440868022,0.3050280506907605,0.2544729534395531,all
gradinput,P01_checkpoint_rerun,57,0.2677715037174899,0.5886568807532906,0.3040189465799,0.25470317717092184,all
