family,task,calibration_fraction,selector,mean_test_risk,violation_frequency,mean_realized_atom_fraction,rationale_prevalence,test_auroc
bxaic,rings-max,0.5,naive,0.09588068957398907,0.38833333333333336,0.8603483181568958,0.0574057405740574,0.8244727549718628
google,benzene,0.125,corrected,0.06347752962962963,0.08026666666666667,0.6679006347633453,0.49975,0.9439091939091939
google,benzene,0.125,naive,0.09920070740740741,0.4478666666666667,0.6089700637264499,0.49975,0.9439091939091939
google,benzene,0.25,corrected,0.0794692987654321,0.15899999999999997,0.6376931062086098,0.49975,0.9439091939091939
google,benzene,0.25,naive,0.09729320679012346,0.42086666666666667,0.6101116672977711,0.49975,0.9439091939091939
google,benzene,0.5,corrected,0.08691303796296296,0.22613333333333333,0.6244745926200995,0.49975,0.9439091939091939
google,benzene,0.5,naive,0.09584201666666667,0.38986666666666664,0.6111194200695719,0.49975,0.9439091939091939
google,logic10,0.125,corrected,0.06131622662842914,0.010733333333333334,0.8592972943360704,0.12101910828025478,0.9165989470467301
google,logic10,0.125,naive,0.09664268699672562,0.40380000000000005,0.8062600868855242,0.12101910828025478,0.9165989470467301
google,logic10,0.25,corrected,0.07815346045134965,0.04973333333333333,0.8332166366417039,0.12101910828025478,0.9165989470467301
google,logic10,0.25,naive,0.09633747639132832,0.3742,0.8064383721971071,0.12101910828025478,0.9165989470467301
google,logic10,0.5,corrected,0.08656767885703619,0.1292,0.8202111319633667,0.12101910828025478,0.9165989470467301
google,logic10,0.5,naive,0.09629081565923182,0.3638,0.8063471609274441,0.12101910828025478,0.9165989470467301
google,logic7,0.125,corrected,0.03320429934263267,0.029133333333333334,0.8748785930103575,0.09011164274322168,0.9689776894618654
google,logic7,0.125,naive,0.09269537999038,0.4074,0.7925297288443303,0.09011164274322168,0.9689776894618654
google,logic7,0.25,corrected,0.05933049766573296,0.09326666666666666,0.8350571333096014,0.09011164274322168,0.9689776894618654
google,logic7,0.25,naive,0.08905240149393091,0.37606666666666666,0.7957967209245546,0.09011164274322168,0.9689776894618654
google,logic7,0.5,corrected,0.07336833890281258,0.17973333333333333,0.8164801021633183,0.09011164274322168,0.9689776894618654
google,logic7,0.5,naive,0.08794459482038429,0.3565333333333333,0.7972144232595018,0.09011164274322168,0.9689776894618654
google,logic8,0.125,corrected,0.059178383665012234,0.053200000000000004,0.8864241481722519,0.18347509113001215,0.8498338960628679
google,logic8,0.125,naive,0.09628378337218338,0.4326,0.8332487181862027,0.18347509113001215,0.8498338960628679
google,logic8,0.25,corrected,0.07563015071225071,0.11886666666666666,0.8608837787317538,0.18347509113001215,0.8498338960628679
google,logic8,0.25,naive,0.0947789293891294,0.3960666666666667,0.8346655073690215,0.18347509113001215,0.8498338960628679
google,logic8,0.5,corrected,0.08428001837791838,0.20253333333333334,0.8484655366849144,0.18347509113001215,0.8498338960628679
google,logic8,0.5,naive,0.0939454467088467,0.37520000000000003,0.8353643394117931,0.18347509113001215,0.8498338960628679
